doi,url,title,journal,publisher,year,vol,issue,Include,Location Appropriate,# Coords,Coord Type,Coordinate Text,Comments,RE_Lat,RE_Long
10.1371/journal.pone.0119922,https://dx.doi.org/10.1371/journal.pone.0119922,Quantifying Patterns of Change in Marine Ecosystem Response to Multiple Pressures,PLoS ONE,PLoS,2015,10,3,1,Y,0,region,Northeast Shelf Large Marine Ecosystem (NES LME),,40.26934,-73.49683
10.1371/journal.pone.0053139,https://dx.doi.org/10.1371/journal.pone.0053139,The 50 Most Important Questions Relating to the Maintenance and Restoration of an Ecological Continuum in the European Alps,PLoS ONE,PLoS,2013,8,1,1,Y,0,sub-continent,"The European Alps span eight countries, from the Mediterranean shores of Southern France to Slovenia and link with adjacent mountain ranges such as the Carpathians, Balkans and Apennines.",,47.02853,9.66108
10.1371/journal.pone.0030463,https://dx.doi.org/10.1371/journal.pone.0030463,"Informatics Technology Mimics Ecology: Dense, Mutualistic Collaboration Networks Are Associated with Higher Publication Rates",PLoS ONE,PLoS,2012,7,1,1,N,0,,,,,
10.1371/journal.pone.0147058,https://dx.doi.org/10.1371/journal.pone.0147058,Human-Induced Landscape Changes Homogenize Atlantic Forest Bird Assemblages through Nested Species Loss,PLoS ONE,PLoS,2016,11,2,1,Y,2,Bounding Box,"state of Paraná, southern Brazil, which is located between latitudes 22°29’30”S and 26°42’59”S; and longitudes 48°02’24”W and 54°37’38”W",,-24.5,-51
10.1371/journal.pone.0111883,https://dx.doi.org/10.1371/journal.pone.0111883,Local and Regional Effects on Community Structure of Dung Beetles in a Mainland-Island Scenario,PLoS ONE,PLoS,2014,0,10,1,Y,4,Point,"On the island, the study areas were within the Lagoa do Peri Municipal Park (PER, 27¡43_30_S, 48¡32_18_W) and the Permanent Protection Area of Ratones (RAT, 27¡31_52_S, 48¡30_45_W). On the mainland, the areas sampled were within the Environmental Protection Area of Anhatomirim in Governador Celso Ramos city (ANH, 27¡25_1_S, 48¡34_25_W), and in Permanent Protection Area in Itapema city (ITA, 27¡05_13_S, 48¡35_54_W).Ê",,-27.725,-48.53833
10.1371/journal.pone.0102437,https://dx.doi.org/10.1371/journal.pone.0102437,Combining Aesthetic with Ecological Values for Landscape Sustainability,PLoS ONE,PLoS,2014,9,7,1,Y,1,Bounding Box,"The Houguanhu Region (113°41′–114°13′E, 30°15′–30°41′N) lies within the southwestern Wuhan city of Hubei Province in central China",,30.50445,114.06645
10.1371/journal.pone.0060756,https://dx.doi.org/10.1371/journal.pone.0060756,Impacts of Intensive Logging on the Trophic Organisation of Ant Communities in a Biodiversity Hotspot,PLoS ONE,PLoS,2013,8,4,1,Y,1,point,"(4¡ 58_N, 117¡ 48_E",,4.96667,117.8
10.1371/journal.pone.0049024,https://dx.doi.org/10.1371/journal.pone.0049024,"The Relationship between Species Richness and Evenness in Plant Communities along a Successional Gradient: A Study from Sub-Alpine Meadows of the Eastern Qinghai-Tibetan Plateau, China",PLoS ONE,PLoS,2012,0,11,1,Y,1,point,"34¡55_N, 102¡53_E;",,34.91667,102.88333
10.1371/journal.pone.0027785,https://dx.doi.org/10.1371/journal.pone.0027785,Forest Fragmentation and Selective Logging Have Inconsistent Effects on Multiple Animal-Mediated Ecosystem Processes in a Tropical Forest,PLoS ONE,PLoS,2011,6,11,1,Y,1,bounding Box,"Kakamega Forest in western Kenya (0¡07_Ð0¡27_ N, 34¡46_Ð34¡57_ E)",,0.45,34.76667
10.1371/journal.pone.0038970,https://dx.doi.org/10.1371/journal.pone.0038970,Uncovering Ecosystem Service Bundles through Social Preferences,PLoS ONE,PLoS,2012,7,6,1,Y,0,country,The research was conducted at eight sites in the Iberian Peninsula,,40.84959,-4.12061
