doi,publisher_name,publisher_abbreviation,citation,title,publish_year,first_author,authors_list,volume_issue_pages,volume,issue,start_page,end_page,keywords_list,no_keywords_list,abstract,no_abstract,url
10.1371/journal.pone.0000295,"
       PLoS ONE
      ",,"
         Byrnes
        , 
         Jarrett E.
        , 
         Reynolds
        , 
         Pamela L.
        , 
         Stachowicz
        , 
         John J.
        , 
         Lusseau
        , 
         David
        . 2007. Invasions and Extinctions Reshape Coastal Marine Food Webs. 
       PLoS ONE
      . ",Invasions and Extinctions Reshape Coastal Marine Food Webs,2007,"
         Byrnes
        , 
         Jarrett E.
        ","
         Byrnes
        , 
         Jarrett E.
        , 
         Reynolds
        , 
         Pamela L.
        , 
         Stachowicz
        , 
         John J.
        , 
         Lusseau
        , 
         David
        ","
      2
     (
      3
     ):
      e295
     ","
      2
     ","
      3
     ","
      e295
     ",,,False,"
The biodiversity of ecosystems worldwide is changing because of species loss due to human-caused extinctions and species gain through intentional and accidental introductions. Here we show that the combined effect of these two processes is altering the trophic structure of food webs in coastal marine systems. This is because most extinctions (∼70%) occur at high trophic levels (top predators and other carnivores), while most invasions are by species from lower trophic levels (70% macroplanktivores, deposit feeders, and detritivores). These opposing changes thus alter the shape of marine food webs from a trophic pyramid capped by a diverse array of predators and consumers to a shorter, squatter configuration dominated by filter feeders and scavengers. The consequences of the simultaneous loss of diversity at top trophic levels and gain at lower trophic levels is largely unknown. However, current research suggests that a better understanding of how such simultaneous changes in diversity can impact ecosystem function will be required to manage coastal ecosystems and forecast future changes.
",False,
10.1371/journal.pone.0000908,"
       PLoS ONE
      ",,"
         Girão
        , 
         Luciana Coe
        , 
         Lopes
        , 
         Ariadna Valentina
        , 
         Tabarelli
        , 
         Marcelo
        , 
         Bruna
        , 
         Emilio M.
        , 
         Chave
        , 
         Jerome
        . 2007. Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape. 
       PLoS ONE
      . ",Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape,2007,"
         Girão
        , 
         Luciana Coe
        ","
         Girão
        , 
         Luciana Coe
        , 
         Lopes
        , 
         Ariadna Valentina
        , 
         Tabarelli
        , 
         Marcelo
        , 
         Bruna
        , 
         Emilio M.
        , 
         Chave
        , 
         Jerome
        ","
      2
     (
      9
     ):
      e908
     ","
      2
     ","
      9
     ","
      e908
     ",,,False,"
Functional diversity has been postulated to be critical for the maintenance of ecosystem functioning, but the way it can be disrupted by human-related disturbances remains poorly investigated. Here we test the hypothesis that habitat fragmentation changes the relative contribution of tree species within categories of reproductive traits (frequency of traits) and reduces the functional diversity of tree assemblages. The study was carried out in an old and severely fragmented landscape of the Brazilian Atlantic forest. We used published information and field observations to obtain the frequency of tree species and individuals within 50 categories of reproductive traits (distributed in four major classes: pollination systems, floral biology, sexual systems, and reproductive systems) in 10 fragments and 10 tracts of forest interior (control plots). As hypothesized, populations in fragments and control plots differed substantially in the representation of the four major classes of reproductive traits (more than 50% of the categories investigated). The most conspicuous differences were the lack of three pollination systems in fragments-pollination by birds, flies and non-flying mammals-and that fragments had a higher frequency of both species and individuals pollinated by generalist vectors. Hermaphroditic species predominate in both habitats, although their relative abundances were higher in fragments. On the contrary, self-incompatible species were underrepresented in fragments. Moreover, fragments showed lower functional diversity (H' scores) for pollination systems (−30.3%), floral types (−23.6%), and floral sizes (−20.8%) in comparison to control plots. In contrast to the overwhelming effect of fragmentation, patch and landscape metrics such as patch size and forest cover played a minor role on the frequency of traits. Our results suggest that habitat fragmentation promotes a marked shift in the relative abundance of tree reproductive traits and greatly reduces the functional diversity of tree assemblages in fragmented landscapes.
",False,
10.1371/journal.pone.0016584,"
       PLoS ONE
      ",,"
         Sutton-Grier
        , 
         Ariana E.
        , 
         Wright
        , 
         Justin P.
        , 
         McGill
        , 
         Bonnie M.
        , 
         Richardson
        , 
         Curtis
        , 
         Gilbert
        , 
         Jack
        . 2011. Environmental Conditions Influence the Plant Functional Diversity Effect on Potential Denitrification. 
       PLoS ONE
      . ",Environmental Conditions Influence the Plant Functional Diversity Effect on Potential Denitrification,2011,"
         Sutton-Grier
        , 
         Ariana E.
        ","
         Sutton-Grier
        , 
         Ariana E.
        , 
         Wright
        , 
         Justin P.
        , 
         McGill
        , 
         Bonnie M.
        , 
         Richardson
        , 
         Curtis
        , 
         Gilbert
        , 
         Jack
        ","
      6
     (
      2
     ):
      e16584
     ","
      6
     ","
      2
     ","
      e16584
     ",,,False,"
Global biodiversity loss has prompted research on the relationship between species diversity and ecosystem functioning. Few studies have examined how plant diversity impacts belowground processes; even fewer have examined how varying resource levels can influence the effect of plant diversity on microbial activity. In a field experiment in a restored wetland, we examined the role of plant trait diversity (or functional diversity, (FD)) and its interactions with natural levels of variability of soil properties, on a microbial process, denitrification potential (DNP). We demonstrated that FD significantly affected microbial DNP through its interactions with soil conditions; increasing FD led to increased DNP but mainly at higher levels of soil resources. Our results suggest that the effect of species diversity on ecosystem functioning may depend on environmental factors such as resource availability. Future biodiversity experiments should examine how natural levels of environmental variability impact the importance of biodiversity to ecosystem functioning.
",False,
10.1371/journal.pone.0018982,"
       PLoS ONE
      ",,"
         Scrosati
        , 
         Ricardo A.
        , 
         Patten
        , 
         Ruth D.
        , 
         Lauff
        , 
         Randolph F.
        , 
         Boyce
        , 
         Mark S.
        . 2011. Positive Interspecific Relationship between Temporal Occurrence and Abundance in Insects. 
       PLoS ONE
      . ",Positive Interspecific Relationship between Temporal Occurrence and Abundance in Insects,2011,"
         Scrosati
        , 
         Ricardo A.
        ","
         Scrosati
        , 
         Ricardo A.
        , 
         Patten
        , 
         Ruth D.
        , 
         Lauff
        , 
         Randolph F.
        , 
         Boyce
        , 
         Mark S.
        ","
      6
     (
      4
     ):
      e18982
     ","
      6
     ","
      4
     ","
      e18982
     ",,,False,"
One of the most studied macroecological patterns is the interspecific abundance–occupancy relationship, which relates species distribution and abundance across space. Interspecific relationships between temporal distribution and abundance, however, remain largely unexplored. Using data for a natural assemblage of tabanid flies measured daily during spring and summer in Nova Scotia, we found that temporal occurrence (proportion of sampling dates in which a species occurred in an experimental trap) was positively related to temporal mean abundance (number of individuals collected for a species during the study period divided by the total number of sampling dates). Moreover, two models that often describe spatial abundance–occupancy relationships well, the He–Gaston and negative binomial models, explained a high amount of the variation in our temporal data. As for the spatial abundance–occupancy relationship, the (temporal) aggregation parameter, 
       
        k
       , emerged as an important component of the hereby named interspecific temporal abundance–occurrence relationship. This may be another case in which a macroecological pattern shows similarities across space and time, and it deserves further research because it may improve our ability to forecast colonization dynamics and biological impacts.
",False,
10.1371/journal.pone.0027785,"
       PLoS ONE
      ",,"
         Schleuning
        , 
         Matthias
        , 
         Farwig
        , 
         Nina
        , 
         Peters
        , 
         Marcell K.
        , 
         Bergsdorf
        , 
         Thomas
        , 
         Bleher
        , 
         Bärbel
        , 
         Brandl
        , 
         Roland
        , 
         Dalitz
        , 
         Helmut
        , 
         Fischer
        , 
         Georg
        , 
         Freund
        , 
         Wolfram
        , 
         Gikungu
        , 
         Mary W.
        , 
         Hagen
        , 
         Melanie
        , 
         Garcia
        , 
         Francisco Hita
        , 
         Kagezi
        , 
         Godfrey H.
        , 
         Kaib
        , 
         Manfred
        , 
         Kraemer
        , 
         Manfred
        , 
         Lung
        , 
         Tobias
        , 
         Naumann
        , 
         Clas M.
        , 
         Schaab
        , 
         Gertrud
        , 
         Templin
        , 
         Mathias
        , 
         Uster
        , 
         Dana
        , 
         Wägele
        , 
         J. Wolfgang
        , 
         Böhning-Gaese
        , 
         Katrin
        , 
         Smith
        , 
         M. Alex
        . 2011. Forest Fragmentation and Selective Logging Have Inconsistent Effects on Multiple Animal-Mediated Ecosystem Processes in a Tropical Forest. 
       PLoS ONE
      . ",Forest Fragmentation and Selective Logging Have Inconsistent Effects on Multiple Animal-Mediated Ecosystem Processes in a Tropical Forest,2011,"
         Schleuning
        , 
         Matthias
        ","
         Schleuning
        , 
         Matthias
        , 
         Farwig
        , 
         Nina
        , 
         Peters
        , 
         Marcell K.
        , 
         Bergsdorf
        , 
         Thomas
        , 
         Bleher
        , 
         Bärbel
        , 
         Brandl
        , 
         Roland
        , 
         Dalitz
        , 
         Helmut
        , 
         Fischer
        , 
         Georg
        , 
         Freund
        , 
         Wolfram
        , 
         Gikungu
        , 
         Mary W.
        , 
         Hagen
        , 
         Melanie
        , 
         Garcia
        , 
         Francisco Hita
        , 
         Kagezi
        , 
         Godfrey H.
        , 
         Kaib
        , 
         Manfred
        , 
         Kraemer
        , 
         Manfred
        , 
         Lung
        , 
         Tobias
        , 
         Naumann
        , 
         Clas M.
        , 
         Schaab
        , 
         Gertrud
        , 
         Templin
        , 
         Mathias
        , 
         Uster
        , 
         Dana
        , 
         Wägele
        , 
         J. Wolfgang
        , 
         Böhning-Gaese
        , 
         Katrin
        , 
         Smith
        , 
         M. Alex
        ","
      6
     (
      11
     ):
      e27785
     ","
      6
     ","
      11
     ","
      e27785
     ",,,False,"
Forest fragmentation and selective logging are two main drivers of global environmental change and modify biodiversity and environmental conditions in many tropical forests. The consequences of these changes for the functioning of tropical forest ecosystems have rarely been explored in a comprehensive approach. In a Kenyan rainforest, we studied six animal-mediated ecosystem processes and recorded species richness and community composition of all animal taxa involved in these processes. We used linear models and a formal meta-analysis to test whether forest fragmentation and selective logging affected ecosystem processes and biodiversity and used structural equation models to disentangle direct from biodiversity-related indirect effects of human disturbance on multiple ecosystem processes. Fragmentation increased decomposition and reduced antbird predation, while selective logging consistently increased pollination, seed dispersal and army-ant raiding. Fragmentation modified species richness or community composition of five taxa, whereas selective logging did not affect any component of biodiversity. Changes in the abundance of functionally important species were related to lower predation by antbirds and higher decomposition rates in small forest fragments. The positive effects of selective logging on bee pollination, bird seed dispersal and army-ant raiding were direct, i.e. not related to changes in biodiversity, and were probably due to behavioural changes of these highly mobile animal taxa. We conclude that animal-mediated ecosystem processes respond in distinct ways to different types of human disturbance in Kakamega Forest. Our findings suggest that forest fragmentation affects ecosystem processes indirectly by changes in biodiversity, whereas selective logging influences processes directly by modifying local environmental conditions and resource distributions. The positive to neutral effects of selective logging on ecosystem processes show that the functionality of tropical forests can be maintained in moderately disturbed forest fragments. Conservation concepts for tropical forests should thus include not only remaining pristine forests but also functionally viable forest remnants.
",False,
10.1371/journal.pone.0029152,"
       PLoS ONE
      ",,"
         Hasemann
        , 
         Christiane
        , 
         Soltwedel
        , 
         Thomas
        , 
         Voolstra
        , 
         Christian R.
        . 2011. Small-Scale Heterogeneity in Deep-Sea Nematode Communities around Biogenic Structures. 
       PLoS ONE
      . ",Small-Scale Heterogeneity in Deep-Sea Nematode Communities around Biogenic Structures,2011,"
         Hasemann
        , 
         Christiane
        ","
         Hasemann
        , 
         Christiane
        , 
         Soltwedel
        , 
         Thomas
        , 
         Voolstra
        , 
         Christian R.
        ","
      6
     (
      12
     ):
      e29152
     ","
      6
     ","
      12
     ","
      e29152
     ",,,False,"
The unexpected high species richness of deep-sea sediments gives rise to the questions, which processes produce and maintain diversity in the deep sea, and at what spatial scales do these processes operate? The idea of a small-scale habitat structure at the deep-sea floor provides the background for this study. At small scales biogenic structures create a heterogeneous environment that influences the structure of the surrounding communities and the dynamics of the meiobenthic populations. As an example for biogenic structures, small deep-sea sponges (
       
        Tentorium semisuberites
        Schmidt 1870) and their sedimentary environment were investigated for small-scale distribution patterns of benthic deep-sea nematodes. Sampling was carried out with the remotely operated vehicle Victor 6000 at the Arctic deep-sea observatory HAUSGARTEN. In order to investigate nematode community patterns sediment cores around three small sponges and corresponding control cores were analysed. A total of approx. 5800 nematodes were identified. The comparison of the nematode communities from sponge and control samples indicated an influence of the biogenic structure “sponge” on diversity patterns and habitat heterogeneity. The increased number of nematode species and functional groups found in the sediments around the sponges suggest that on a small scale the sponge acts as a gradient and creates a more divers habitat structure. The nematode community from the sponge sediments shows a greater taxonomic variance and species richness together with lower relative abundances of the species compared to those from control sediments. Obviously, the more homogeneous habitat conditions of the control sediments offer less micro-habitats than the sediments around the sponges. This seems to reduce the number of functional groups and species coexisting in the control sediments.
",False,
10.1371/journal.pone.0030463,"
       PLoS ONE
      ",,"
         Sorani
        , 
         Marco D.
        , 
         Moreno
        , 
         Yamir
        . 2012. Informatics Technology Mimics Ecology: Dense, Mutualistic Collaboration Networks Are Associated with Higher Publication Rates. 
       PLoS ONE
      . ","Informatics Technology Mimics Ecology: Dense, Mutualistic Collaboration Networks Are Associated with Higher Publication Rates",2012,"
         Sorani
        , 
         Marco D.
        ","
         Sorani
        , 
         Marco D.
        , 
         Moreno
        , 
         Yamir
        ","
      7
     (
      1
     ):
      e30463
     ","
      7
     ","
      1
     ","
      e30463
     ",,,False,"
Information technology (IT) adoption enables biomedical research. Publications are an accepted measure of research output, and network models can describe the collaborative nature of publication. In particular, ecological networks can serve as analogies for publication and technology adoption. We constructed network models of adoption of bioinformatics programming languages and health IT (HIT) from the literature.
We selected seven programming languages and four types of HIT. We performed PubMed searches to identify publications since 2001. We calculated summary statistics and analyzed spatiotemporal relationships. Then, we assessed ecological models of specialization, cooperativity, competition, evolution, biodiversity, and stability associated with publications.
Adoption of HIT has been variable, while scripting languages have experienced rapid adoption. Hospital systems had the largest HIT research corpus, while Perl had the largest language corpus. Scripting languages represented the largest connected network components. The relationship between edges and nodes was linear, though Bioconductor had more edges than expected and Perl had fewer. Spatiotemporal relationships were weak. Most languages shared a bioinformatics specialization and appeared mutualistic or competitive. HIT specializations varied. Specialization was highest for Bioconductor and radiology systems. Specialization and cooperativity were positively correlated among languages but negatively correlated among HIT. Rates of language evolution were similar. Biodiversity among languages grew in the first half of the decade and stabilized, while diversity among HIT was variable but flat. Compared with publications in 2001, correlation with publications one year later was positive while correlation after ten years was weak and negative.
Adoption of new technologies can be unpredictable. Spatiotemporal relationships facilitate adoption but are not sufficient. As with ecosystems, dense, mutualistic, specialized co-habitation is associated with faster growth. There are rapidly changing trends in external technological and macroeconomic influences. We propose that a better understanding of how technologies are adopted can facilitate their development.
",False,
10.1371/journal.pone.0030506,"
       PLoS ONE
      ",,"
         Gallardo-Cruz
        , 
         J. Alberto
        , 
         Meave
        , 
         Jorge A.
        , 
         González
        , 
         Edgar J.
        , 
         Lebrija-Trejos
        , 
         Edwin E.
        , 
         Romero-Romero
        , 
         Marco A.
        , 
         Pérez-García
        , 
         Eduardo A.
        , 
         Gallardo-Cruz
        , 
         Rodrigo
        , 
         Hernández-Stefanoni
        , 
         José Luis
        , 
         Martorell
        , 
         Carlos
        , 
         Chave
        , 
         Jerome
        . 2012. Predicting Tropical Dry Forest Successional Attributes from Space: Is the Key Hidden in Image Texture?. 
       PLoS ONE
      . ",Predicting Tropical Dry Forest Successional Attributes from Space: Is the Key Hidden in Image Texture?,2012,"
         Gallardo-Cruz
        , 
         J. Alberto
        ","
         Gallardo-Cruz
        , 
         J. Alberto
        , 
         Meave
        , 
         Jorge A.
        , 
         González
        , 
         Edgar J.
        , 
         Lebrija-Trejos
        , 
         Edwin E.
        , 
         Romero-Romero
        , 
         Marco A.
        , 
         Pérez-García
        , 
         Eduardo A.
        , 
         Gallardo-Cruz
        , 
         Rodrigo
        , 
         Hernández-Stefanoni
        , 
         José Luis
        , 
         Martorell
        , 
         Carlos
        , 
         Chave
        , 
         Jerome
        ","
      7
     (
      2
     ):
      e30506
     ","
      7
     ","
      2
     ","
      e30506
     ",,,False,"
Biodiversity conservation and ecosystem-service provision will increasingly depend on the existence of secondary vegetation. Our success in achieving these goals will be determined by our ability to accurately estimate the structure and diversity of such communities at broad geographic scales. We examined whether the texture (the spatial variation of the image elements) of very high-resolution satellite imagery can be used for this purpose. In 14 fallows of different ages and one mature forest stand in a seasonally dry tropical forest landscape, we estimated basal area, canopy cover, stem density, species richness, Shannon index, Simpson index, and canopy height. The first six attributes were also estimated for a subset comprising the tallest plants. We calculated 40 texture variables based on the red and the near infrared bands, and EVI and NDVI, and selected the best-fit linear models describing each vegetation attribute based on them. Basal area (
       
        R
       2 = 0.93), vegetation height and cover (0.89), species richness (0.87), and stand age (0.85) were the best-described attributes by two-variable models. Cross validation showed that these models had a high predictive power, and most estimated vegetation attributes were highly accurate. The success of this simple method (a single image was used and the models were linear and included very few variables) rests on the principle that image texture reflects the internal heterogeneity of successional vegetation at the proper scale. The vegetation attributes best predicted by texture are relevant in the face of two of the gravest threats to biosphere integrity: climate change and biodiversity loss. By providing reliable basal area and fallow-age estimates, image-texture analysis allows for the assessment of carbon sequestration and diversity loss rates. New and exciting research avenues open by simplifying the analysis of the extent and complexity of successional vegetation through the spatial variation of its spectral information.
",False,
10.1371/journal.pone.0036196,"
       PLoS ONE
      ",,"
         Reynolds
        , 
         Pamela L.
        , 
         Bruno
        , 
         John F.
        , 
         Moen
        , 
         Jon
        . 2012. Effects of Trophic Skewing of Species Richness on Ecosystem Functioning in a Diverse Marine Community. 
       PLoS ONE
      . ",Effects of Trophic Skewing of Species Richness on Ecosystem Functioning in a Diverse Marine Community,2012,"
         Reynolds
        , 
         Pamela L.
        ","
         Reynolds
        , 
         Pamela L.
        , 
         Bruno
        , 
         John F.
        , 
         Moen
        , 
         Jon
        ","
      7
     (
      5
     ):
      e36196
     ","
      7
     ","
      5
     ","
      e36196
     ",,,False,"
Widespread overharvesting of top consumers of the world’s ecosystems has “skewed” food webs, in terms of biomass and species richness, towards a generally greater domination at lower trophic levels. This skewing is exacerbated in locations where exotic species are predominantly low-trophic level consumers such as benthic macrophytes, detritivores, and filter feeders. However, in some systems where numerous exotic predators have been added, sometimes purposefully as in many freshwater systems, food webs are skewed in the opposite direction toward consumer dominance. Little is known about how such modifications to food web topology, e.g., changes in the ratio of predator to prey species richness, affect ecosystem functioning. We experimentally measured the effects of trophic skew on production in an estuarine food web by manipulating ratios of species richness across three trophic levels in experimental mesocosms. After 24 days, increasing macroalgal richness promoted both plant biomass and grazer abundance, although the positive effect on plant biomass disappeared in the presence of grazers. The strongest trophic cascade on the experimentally stocked macroalgae emerged in communities with a greater ratio of prey to predator richness (bottom-rich food webs), while stronger cascades on the accumulation of naturally colonizing algae (primarily microalgae with some early successional macroalgae that recruited and grew in the mesocosms) generally emerged in communities with greater predator to prey richness (the more top-rich food webs). These results suggest that trophic skewing of species richness and overall changes in food web topology can influence marine community structure and food web dynamics in complex ways, emphasizing the need for multitrophic approaches to understand the consequences of marine extinctions and invasions.
",False,
10.1371/journal.pone.0037856,"
       PLoS ONE
      ",,"
         Doi
        , 
         Hideyuki
        , 
         Vander Zanden
        , 
         M. Jake
        , 
         Hillebrand
        , 
         Helmut
        , 
         Romanuk
        , 
         Tamara Natasha
        . 2012. Shorter Food Chain Length in Ancient Lakes: Evidence from a Global Synthesis. 
       PLoS ONE
      . ",Shorter Food Chain Length in Ancient Lakes: Evidence from a Global Synthesis,2012,"
         Doi
        , 
         Hideyuki
        ","
         Doi
        , 
         Hideyuki
        , 
         Vander Zanden
        , 
         M. Jake
        , 
         Hillebrand
        , 
         Helmut
        , 
         Romanuk
        , 
         Tamara Natasha
        ","
      7
     (
      6
     ):
      e37856
     ","
      7
     ","
      6
     ","
      e37856
     ",,,False,"
Food webs may be affected by evolutionary processes, and effective evolutionary time ultimately affects the probability of species evolving to fill the niche space. Thus, ecosystem history may set important evolutionary constraints on community composition and food web structure. Food chain length (FCL) has long been recognized as a fundamental ecosystem attribute. We examined historical effects on FCL in large lakes spanning >6 orders of magnitude in age. We found that food chains in the world’s ancient lakes (n = 8) were significantly shorter than in recently formed lakes (n = 10) and reservoirs (n = 3), despite the fact that ancient lakes harbored much higher species richness, including many endemic species. One potential factor leading to shorter FCL in ancient lakes is an increasing diversity of trophic omnivores and herbivores. Speciation could simply broaden the number of species within a trophic group, particularly at lower trophic levels and could also lead to a greater degree of trophic omnivory. Our results highlight a counter-intuitive and poorly-understood role of evolutionary history in shaping key food web properties such as FCL.
",False,
