doi,publisher_name,publisher_abbreviation,citation,title,publish_year,first_author,authors_list,volume_issue_pages,volume,issue,start_page,end_page,keywords_list,no_keywords_list,abstract,no_abstract,url
10.1371/journal.pone.0000295,"
       PLoS ONE
      ",,"
         Byrnes
        , 
         Jarrett E.
        , 
         Reynolds
        , 
         Pamela L.
        , 
         Stachowicz
        , 
         John J.
        , 
         Lusseau
        , 
         David
        . 2007. Invasions and Extinctions Reshape Coastal Marine Food Webs. 
       PLoS ONE
      . ",Invasions and Extinctions Reshape Coastal Marine Food Webs,2007,"
         Byrnes
        , 
         Jarrett E.
        ","
         Byrnes
        , 
         Jarrett E.
        , 
         Reynolds
        , 
         Pamela L.
        , 
         Stachowicz
        , 
         John J.
        , 
         Lusseau
        , 
         David
        ","
      2
     (
      3
     ):
      e295
     ","
      2
     ","
      3
     ","
      e295
     ",,,False,"
The biodiversity of ecosystems worldwide is changing because of species loss due to human-caused extinctions and species gain through intentional and accidental introductions. Here we show that the combined effect of these two processes is altering the trophic structure of food webs in coastal marine systems. This is because most extinctions (∼70%) occur at high trophic levels (top predators and other carnivores), while most invasions are by species from lower trophic levels (70% macroplanktivores, deposit feeders, and detritivores). These opposing changes thus alter the shape of marine food webs from a trophic pyramid capped by a diverse array of predators and consumers to a shorter, squatter configuration dominated by filter feeders and scavengers. The consequences of the simultaneous loss of diversity at top trophic levels and gain at lower trophic levels is largely unknown. However, current research suggests that a better understanding of how such simultaneous changes in diversity can impact ecosystem function will be required to manage coastal ecosystems and forecast future changes.
",False,
10.1371/journal.pone.0009677,"
       PLoS ONE
      ",,"
         Lundholm
        , 
         Jeremy
        , 
         MacIvor
        , 
         J. Scott
        , 
         MacDougall
        , 
         Zachary
        , 
         Ranalli
        , 
         Melissa
        , 
         Bruun
        , 
         Hans Henrik
        . 2010. Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions. 
       PLoS ONE
      . ",Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions,2010,"
         Lundholm
        , 
         Jeremy
        ","
         Lundholm
        , 
         Jeremy
        , 
         MacIvor
        , 
         J. Scott
        , 
         MacDougall
        , 
         Zachary
        , 
         Ranalli
        , 
         Melissa
        , 
         Bruun
        , 
         Hans Henrik
        ","
      5
     (
      3
     ):
      e9677
     ","
      5
     ","
      3
     ","
      e9677
     ",,,False,"

Background
Green roofs perform ecosystem services such as summer roof temperature reduction and stormwater capture that directly contribute to lower building energy use and potential economic savings. These services are in turn related to ecosystem functions performed by the vegetation layer such as radiation reflection and transpiration, but little work has examined the role of plant species composition and diversity in improving these functions.


Methodology/Principal Findings
We used a replicated modular extensive (shallow growing- medium) green roof system planted with monocultures or mixtures containing one, three or five life-forms, to quantify two ecosystem services: summer roof cooling and water capture. We also measured the related ecosystem properties/processes of albedo, evapotranspiration, and the mean and temporal variability of aboveground biomass over four months. Mixtures containing three or five life-form groups, simultaneously optimized several green roof ecosystem functions, outperforming monocultures and single life-form groups, but there was much variation in performance depending on which life-forms were present in the three life-form mixtures. Some mixtures outperformed the best monocultures for water capture, evapotranspiration, and an index combining both water capture and temperature reductions. Combinations of tall forbs, grasses and succulents simultaneously optimized a range of ecosystem performance measures, thus the main benefit of including all three groups was not to maximize any single process but to perform a variety of functions well.


Conclusions/Significance
Ecosystem services from green roofs can be improved by planting certain life-form groups in combination, directly contributing to climate change mitigation and adaptation strategies. The strong performance by certain mixtures of life-forms, especially tall forbs, grasses and succulents, warrants further investigation into niche complementarity or facilitation as mechanisms governing biodiversity-ecosystem functioning relationships in green roof ecosystems.

",False,
10.1371/journal.pone.0013382,"
       PLoS ONE
      ",,"
         Proulx
        , 
         Raphaël
        , 
         Wirth
        , 
         Christian
        , 
         Voigt
        , 
         Winfried
        , 
         Weigelt
        , 
         Alexandra
        , 
         Roscher
        , 
         Christiane
        , 
         Attinger
        , 
         Sabine
        , 
         Baade
        , 
         Jussi
        , 
         Barnard
        , 
         Romain L.
        , 
         Buchmann
        , 
         Nina
        , 
         Buscot
        , 
         François
        , 
         Eisenhauer
        , 
         Nico
        , 
         Fischer
        , 
         Markus
        , 
         Gleixner
        , 
         Gerd
        , 
         Halle
        , 
         Stefan
        , 
         Hildebrandt
        , 
         Anke
        , 
         Kowalski
        , 
         Esther
        , 
         Kuu
        , 
         Annely
        , 
         Lange
        , 
         Markus
        , 
         Milcu
        , 
         Alex
        , 
         Niklaus
        , 
         Pascal A.
        , 
         Oelmann
        , 
         Yvonne
        , 
         Rosenkranz
        , 
         Stephan
        , 
         Sabais
        , 
         Alexander
        , 
         Scherber
        , 
         Christoph
        , 
         Scherer-Lorenzen
        , 
         Michael
        , 
         Scheu
        , 
         Stefan
        , 
         Schulze
        , 
         Ernst-Detlef
        , 
         Schumacher
        , 
         Jens
        , 
         Schwichtenberg
        , 
         Guido
        , 
         Soussana
        , 
         Jean-François
        , 
         Temperton
        , 
         Vicky M.
        , 
         Weisser
        , 
         Wolfgang W.
        , 
         Wilcke
        , 
         Wolfgang
        , 
         Schmid
        , 
         Bernhard
        , 
         Borevitz
        , 
         Justin O.
        . 2010. Diversity Promotes Temporal Stability across Levels of Ecosystem Organization in Experimental Grasslands. 
       PLoS ONE
      . ",Diversity Promotes Temporal Stability across Levels of Ecosystem Organization in Experimental Grasslands,2010,"
         Proulx
        , 
         Raphaël
        ","
         Proulx
        , 
         Raphaël
        , 
         Wirth
        , 
         Christian
        , 
         Voigt
        , 
         Winfried
        , 
         Weigelt
        , 
         Alexandra
        , 
         Roscher
        , 
         Christiane
        , 
         Attinger
        , 
         Sabine
        , 
         Baade
        , 
         Jussi
        , 
         Barnard
        , 
         Romain L.
        , 
         Buchmann
        , 
         Nina
        , 
         Buscot
        , 
         François
        , 
         Eisenhauer
        , 
         Nico
        , 
         Fischer
        , 
         Markus
        , 
         Gleixner
        , 
         Gerd
        , 
         Halle
        , 
         Stefan
        , 
         Hildebrandt
        , 
         Anke
        , 
         Kowalski
        , 
         Esther
        , 
         Kuu
        , 
         Annely
        , 
         Lange
        , 
         Markus
        , 
         Milcu
        , 
         Alex
        , 
         Niklaus
        , 
         Pascal A.
        , 
         Oelmann
        , 
         Yvonne
        , 
         Rosenkranz
        , 
         Stephan
        , 
         Sabais
        , 
         Alexander
        , 
         Scherber
        , 
         Christoph
        , 
         Scherer-Lorenzen
        , 
         Michael
        , 
         Scheu
        , 
         Stefan
        , 
         Schulze
        , 
         Ernst-Detlef
        , 
         Schumacher
        , 
         Jens
        , 
         Schwichtenberg
        , 
         Guido
        , 
         Soussana
        , 
         Jean-François
        , 
         Temperton
        , 
         Vicky M.
        , 
         Weisser
        , 
         Wolfgang W.
        , 
         Wilcke
        , 
         Wolfgang
        , 
         Schmid
        , 
         Bernhard
        , 
         Borevitz
        , 
         Justin O.
        ","
      5
     (
      10
     ):
      e13382
     ","
      5
     ","
      10
     ","
      e13382
     ",,,False,"
The diversity–stability hypothesis states that current losses of biodiversity can impair the ability of an ecosystem to dampen the effect of environmental perturbations on its functioning. Using data from a long-term and comprehensive biodiversity experiment, we quantified the temporal stability of 42 variables characterizing twelve ecological functions in managed grassland plots varying in plant species richness. We demonstrate that diversity increases stability i) across trophic levels (producer, consumer), ii) at both the system (community, ecosystem) and the component levels (population, functional group, phylogenetic clade), and iii) primarily for aboveground rather than belowground processes. Temporal synchronization across studied variables was mostly unaffected with increasing species richness. This study provides the strongest empirical support so far that diversity promotes stability across different ecological functions and levels of ecosystem organization in grasslands.
",False,
10.1371/journal.pone.0016584,"
       PLoS ONE
      ",,"
         Sutton-Grier
        , 
         Ariana E.
        , 
         Wright
        , 
         Justin P.
        , 
         McGill
        , 
         Bonnie M.
        , 
         Richardson
        , 
         Curtis
        , 
         Gilbert
        , 
         Jack
        . 2011. Environmental Conditions Influence the Plant Functional Diversity Effect on Potential Denitrification. 
       PLoS ONE
      . ",Environmental Conditions Influence the Plant Functional Diversity Effect on Potential Denitrification,2011,"
         Sutton-Grier
        , 
         Ariana E.
        ","
         Sutton-Grier
        , 
         Ariana E.
        , 
         Wright
        , 
         Justin P.
        , 
         McGill
        , 
         Bonnie M.
        , 
         Richardson
        , 
         Curtis
        , 
         Gilbert
        , 
         Jack
        ","
      6
     (
      2
     ):
      e16584
     ","
      6
     ","
      2
     ","
      e16584
     ",,,False,"
Global biodiversity loss has prompted research on the relationship between species diversity and ecosystem functioning. Few studies have examined how plant diversity impacts belowground processes; even fewer have examined how varying resource levels can influence the effect of plant diversity on microbial activity. In a field experiment in a restored wetland, we examined the role of plant trait diversity (or functional diversity, (FD)) and its interactions with natural levels of variability of soil properties, on a microbial process, denitrification potential (DNP). We demonstrated that FD significantly affected microbial DNP through its interactions with soil conditions; increasing FD led to increased DNP but mainly at higher levels of soil resources. Our results suggest that the effect of species diversity on ecosystem functioning may depend on environmental factors such as resource availability. Future biodiversity experiments should examine how natural levels of environmental variability impact the importance of biodiversity to ecosystem functioning.
",False,
10.1371/journal.pone.0017476,"
       PLoS ONE
      ",,"
         Mouillot
        , 
         David
        , 
         Villéger
        , 
         Sébastien
        , 
         Scherer-Lorenzen
        , 
         Michael
        , 
         Mason
        , 
         Norman W. H.
        , 
         Romanuk
        , 
         Tamara
        . 2011. Functional Structure of Biological Communities Predicts Ecosystem Multifunctionality. 
       PLoS ONE
      . ",Functional Structure of Biological Communities Predicts Ecosystem Multifunctionality,2011,"
         Mouillot
        , 
         David
        ","
         Mouillot
        , 
         David
        , 
         Villéger
        , 
         Sébastien
        , 
         Scherer-Lorenzen
        , 
         Michael
        , 
         Mason
        , 
         Norman W. H.
        , 
         Romanuk
        , 
         Tamara
        ","
      6
     (
      3
     ):
      e17476
     ","
      6
     ","
      3
     ","
      e17476
     ",,,False,"
The accelerating rate of change in biodiversity patterns, mediated by ever increasing human pressures and global warming, demands a better understanding of the relationship between the structure of biological communities and ecosystem functioning (BEF). Recent investigations suggest that the functional structure of communities, i.e. the composition and diversity of functional traits, is the main driver of ecological processes. However, the predictive power of BEF research is still low, the integration of all components of functional community structure as predictors is still lacking, and the multifunctionality of ecosystems (i.e. rates of multiple processes) must be considered. Here, using a multiple-processes framework from grassland biodiversity experiments, we show that functional identity of species and functional divergence among species, rather than species diversity 
       
        per se
       , together promote the level of ecosystem multifunctionality with a predictive power of 80%. Our results suggest that primary productivity and decomposition rates, two key ecosystem processes upon which the global carbon cycle depends, are primarily sustained by specialist species, i.e. those that hold specialized combinations of traits and perform particular functions. Contrary to studies focusing on single ecosystem functions and considering species richness as the sole measure of biodiversity, we found a linear and non-saturating effect of the functional structure of communities on ecosystem multifunctionality. Thus, sustaining multiple ecological processes would require focusing on trait dominance and on the degree of community specialization, even in species-rich assemblages.
",False,
10.1371/journal.pone.0020078,"
       PLoS ONE
      ",,"
         Pan
        , 
         Qingmin
        , 
         Bai
        , 
         Yongfei
        , 
         Wu
        , 
         Jianguo
        , 
         Han
        , 
         Xingguo
        , 
         Moen
        , 
         Jon
        . 2011. Hierarchical Plant Responses and Diversity Loss after Nitrogen Addition: Testing Three Functionally-Based Hypotheses in the Inner Mongolia Grassland. 
       PLoS ONE
      . ",Hierarchical Plant Responses and Diversity Loss after Nitrogen Addition: Testing Three Functionally-Based Hypotheses in the Inner Mongolia Grassland,2011,"
         Pan
        , 
         Qingmin
        ","
         Pan
        , 
         Qingmin
        , 
         Bai
        , 
         Yongfei
        , 
         Wu
        , 
         Jianguo
        , 
         Han
        , 
         Xingguo
        , 
         Moen
        , 
         Jon
        ","
      6
     (
      5
     ):
      e20078
     ","
      6
     ","
      5
     ","
      e20078
     ",,,False,"

Background
Numerous studies have shown that nitrogen (N) deposition decreases biodiversity in terrestrial ecosystems. To explain the N-induced species loss, three functionally based hypotheses have been proposed: the aboveground competition hypothesis, the belowground competition hypothesis, and the total competition hypothesis. However, none of them is supported sufficiently by field experiments. A main challenge to testing these hypotheses is to ascertain the role of shoot and root competition in controlling plant responses to N enrichment. Simultaneously examining both aboveground and belowground responses in natural ecosystems is logistically complex, and has rarely been done.


Methodology/Principal Findings
In a two-year N addition experiment conducted in a natural grassland ecosystem, we investigated both above- and belowground responses of plants at the individual, species, and community levels. Plants differed significantly in their responses to N addition across the different organizational levels. The community-level species loss was mainly due to the loss of perennial grasses and forbs, while the relative abundance of plant species was dependent mainly on individual-level responses. Plasticity in biomass allocation was much smaller within a species than between species, providing a biological basis for explaining the functionally based species loss. All species increased biomass allocation to aboveground parts, but species with high belowground allocations were replaced by those with high aboveground allocations, indicating that the increased aboveground competition was the key process responsible for the observed diversity loss after N addition in this grassland ecosystem.


Conclusions/Significance
Our findings shed new light on the validity of the three competing hypotheses concerning species loss in response to N enrichment. They also have important implications for predicting the future impacts of N deposition on the structure and functioning of terrestrial ecosystems. In addition, we have developed a new technique for ascertaining the roles of aboveground and belowground competition in determining plant responses to N fertilization.

",False,
10.1371/journal.pone.0022905,"
       PLoS ONE
      ",,"
         Schuldt
        , 
         Andreas
        , 
         Both
        , 
         Sabine
        , 
         Bruelheide
        , 
         Helge
        , 
         Härdtle
        , 
         Werner
        , 
         Schmid
        , 
         Bernhard
        , 
         Zhou
        , 
         Hongzhang
        , 
         Assmann
        , 
         Thorsten
        , 
         Boyce
        , 
         Mark S.
        . 2011. Predator Diversity and Abundance Provide Little Support for the Enemies Hypothesis in Forests of High Tree Diversity. 
       PLoS ONE
      . ",Predator Diversity and Abundance Provide Little Support for the Enemies Hypothesis in Forests of High Tree Diversity,2011,"
         Schuldt
        , 
         Andreas
        ","
         Schuldt
        , 
         Andreas
        , 
         Both
        , 
         Sabine
        , 
         Bruelheide
        , 
         Helge
        , 
         Härdtle
        , 
         Werner
        , 
         Schmid
        , 
         Bernhard
        , 
         Zhou
        , 
         Hongzhang
        , 
         Assmann
        , 
         Thorsten
        , 
         Boyce
        , 
         Mark S.
        ","
      6
     (
      7
     ):
      e22905
     ","
      6
     ","
      7
     ","
      e22905
     ",,,False,"
Predatory arthropods can exert strong top-down control on ecosystem functions. However, despite extensive theory and experimental manipulations of predator diversity, our knowledge about relationships between plant and predator diversity—and thus information on the relevance of experimental findings—for species-rich, natural ecosystems is limited. We studied activity abundance and species richness of epigeic spiders in a highly diverse forest ecosystem in subtropical China across 27 forest stands which formed a gradient in tree diversity of 25–69 species per plot. The enemies hypothesis predicts higher predator abundance and diversity, and concomitantly more effective top-down control of food webs, with increasing plant diversity. However, in our study, activity abundance and observed species richness of spiders decreased with increasing tree species richness. There was only a weak, non-significant relationship with tree richness when spider richness was rarefied, i.e. corrected for different total abundances of spiders. Only foraging guild richness (i.e. the diversity of hunting modes) of spiders was positively related to tree species richness. Plant species richness in the herb layer had no significant effects on spiders. Our results thus provide little support for the enemies hypothesis—derived from studies in less diverse ecosystems—of a positive relationship between predator and plant diversity. Our findings for an important group of generalist predators question whether stronger top-down control of food webs can be expected in the more plant diverse stands of our forest ecosystem. Biotic interactions could play important roles in mediating the observed relationships between spider and plant diversity, but further testing is required for a more detailed mechanistic understanding. Our findings have implications for evaluating the way in which theoretical predictions and experimental findings of functional predator effects apply to species-rich forest ecosystems, in which trophic interactions are often considered to be of crucial importance for the maintenance of high plant diversity.
",False,
10.1371/journal.pone.0024107,"
       PLoS ONE
      ",,"
         Brown
        , 
         Kerry A.
        , 
         Flynn
        , 
         Dan F. B.
        , 
         Abram
        , 
         Nicola K.
        , 
         Ingram
        , 
         J. Carter
        , 
         Johnson
        , 
         Steig E.
        , 
         Wright
        , 
         Patricia
        , 
         Mouquet
        , 
         Nicolas
        . 2011. Assessing Natural Resource Use by Forest-Reliant Communities in Madagascar Using Functional Diversity and Functional Redundancy Metrics. 
       PLoS ONE
      . ",Assessing Natural Resource Use by Forest-Reliant Communities in Madagascar Using Functional Diversity and Functional Redundancy Metrics,2011,"
         Brown
        , 
         Kerry A.
        ","
         Brown
        , 
         Kerry A.
        , 
         Flynn
        , 
         Dan F. B.
        , 
         Abram
        , 
         Nicola K.
        , 
         Ingram
        , 
         J. Carter
        , 
         Johnson
        , 
         Steig E.
        , 
         Wright
        , 
         Patricia
        , 
         Mouquet
        , 
         Nicolas
        ","
      6
     (
      9
     ):
      e24107
     ","
      6
     ","
      9
     ","
      e24107
     ",,,False,"
Biodiversity plays an integral role in the livelihoods of subsistence-based forest-dwelling communities and as a consequence it is increasingly important to develop quantitative approaches that capture not only changes in taxonomic diversity, but also variation in natural resources and provisioning services. We apply a functional diversity metric originally developed for addressing questions in community ecology to assess utilitarian diversity of 56 forest plots in Madagascar. The use categories for utilitarian plants were determined using expert knowledge and household questionnaires. We used a null model approach to examine the utilitarian (functional) diversity and utilitarian redundancy present within ecological communities. Additionally, variables that might influence fluctuations in utilitarian diversity and redundancy—specifically number of felled trees, number of trails, basal area, canopy height, elevation, distance from village—were analyzed using Generalized Linear Models (GLMs). Eighteen of the 56 plots showed utilitarian diversity values significantly higher than expected. This result indicates that these habitats exhibited a low degree of utilitarian redundancy and were therefore comprised of plants with relatively distinct utilitarian properties. One implication of this finding is that minor losses in species richness may result in reductions in utilitarian diversity and redundancy, which may limit local residents' ability to switch between alternative choices. The GLM analysis showed that the most predictive model included basal area, canopy height and distance from village, which suggests that variation in utilitarian redundancy may be a result of local residents harvesting resources from the protected area. Our approach permits an assessment of the diversity of provisioning services available to local communities, offering unique insights that would not be possible using traditional taxonomic diversity measures. These analyses introduce another tool available to conservation biologists for assessing how future losses in biodiversity will lead to a reduction in natural resources and provisioning services from forests.
",False,
10.1371/journal.pone.0026986,"
       PLoS ONE
      ",,"
         Tait
        , 
         Leigh W.
        , 
         Schiel
        , 
         David R.
        , 
         Thrush
        , 
         Simon
        . 2011. Legacy Effects of Canopy Disturbance on Ecosystem Functioning in Macroalgal Assemblages. 
       PLoS ONE
      . ",Legacy Effects of Canopy Disturbance on Ecosystem Functioning in Macroalgal Assemblages,2011,"
         Tait
        , 
         Leigh W.
        ","
         Tait
        , 
         Leigh W.
        , 
         Schiel
        , 
         David R.
        , 
         Thrush
        , 
         Simon
        ","
      6
     (
      10
     ):
      e26986
     ","
      6
     ","
      10
     ","
      e26986
     ",,,False,"
Macroalgal assemblages are some of the most productive systems on earth and they contribute significantly to nearshore ecosystems. Globally, macroalgal assemblages are increasingly threatened by anthropogenic activities such as sedimentation, eutrophication and climate change. Despite this, very little research has considered the potential effects of canopy loss on primary productivity, although the literature is rich with evidence showing the ecological effects of canopy disturbance. In this study we used experimental removal plots of habitat-dominating algae (Order Fucales) that had been initiated several years previously to construct a chronosequence of disturbed macroalgal communities and to test if there were legacy effects of canopy loss on primary productivity. We used 
       
        in situ
        photo-respirometry to test the primary productivity of algal assemblages in control and removal plots at two intertidal elevations. In the mid tidal zone assemblage, the removal plots at two sites had average primary productivity values of only 40% and 60% that of control areas after 90 months. Differences in productivity were associated with lower biomass and density of the fucoid algal canopy and lower taxa richness in the removal plots after 90 months. Low-shore plots, established three years earlier, showed that the loss of the large, dominant fucoid resulted in at least 50% less primary productivity of the algal assemblage than controls, which lasted for 90 months; other smaller fucoid species had recruited but they were far less productive. The long term reduction in primary productivity following a single episode of canopy loss of a dominant species in two tidal zones suggests that these assemblages are not very resilient to large perturbations. Decreased production output may have severe and long-lasting consequences on the surrounding communities and has the potential to alter nutrient cycling in the wider nearshore environment.
",False,
10.1371/journal.pone.0027785,"
       PLoS ONE
      ",,"
         Schleuning
        , 
         Matthias
        , 
         Farwig
        , 
         Nina
        , 
         Peters
        , 
         Marcell K.
        , 
         Bergsdorf
        , 
         Thomas
        , 
         Bleher
        , 
         Bärbel
        , 
         Brandl
        , 
         Roland
        , 
         Dalitz
        , 
         Helmut
        , 
         Fischer
        , 
         Georg
        , 
         Freund
        , 
         Wolfram
        , 
         Gikungu
        , 
         Mary W.
        , 
         Hagen
        , 
         Melanie
        , 
         Garcia
        , 
         Francisco Hita
        , 
         Kagezi
        , 
         Godfrey H.
        , 
         Kaib
        , 
         Manfred
        , 
         Kraemer
        , 
         Manfred
        , 
         Lung
        , 
         Tobias
        , 
         Naumann
        , 
         Clas M.
        , 
         Schaab
        , 
         Gertrud
        , 
         Templin
        , 
         Mathias
        , 
         Uster
        , 
         Dana
        , 
         Wägele
        , 
         J. Wolfgang
        , 
         Böhning-Gaese
        , 
         Katrin
        , 
         Smith
        , 
         M. Alex
        . 2011. Forest Fragmentation and Selective Logging Have Inconsistent Effects on Multiple Animal-Mediated Ecosystem Processes in a Tropical Forest. 
       PLoS ONE
      . ",Forest Fragmentation and Selective Logging Have Inconsistent Effects on Multiple Animal-Mediated Ecosystem Processes in a Tropical Forest,2011,"
         Schleuning
        , 
         Matthias
        ","
         Schleuning
        , 
         Matthias
        , 
         Farwig
        , 
         Nina
        , 
         Peters
        , 
         Marcell K.
        , 
         Bergsdorf
        , 
         Thomas
        , 
         Bleher
        , 
         Bärbel
        , 
         Brandl
        , 
         Roland
        , 
         Dalitz
        , 
         Helmut
        , 
         Fischer
        , 
         Georg
        , 
         Freund
        , 
         Wolfram
        , 
         Gikungu
        , 
         Mary W.
        , 
         Hagen
        , 
         Melanie
        , 
         Garcia
        , 
         Francisco Hita
        , 
         Kagezi
        , 
         Godfrey H.
        , 
         Kaib
        , 
         Manfred
        , 
         Kraemer
        , 
         Manfred
        , 
         Lung
        , 
         Tobias
        , 
         Naumann
        , 
         Clas M.
        , 
         Schaab
        , 
         Gertrud
        , 
         Templin
        , 
         Mathias
        , 
         Uster
        , 
         Dana
        , 
         Wägele
        , 
         J. Wolfgang
        , 
         Böhning-Gaese
        , 
         Katrin
        , 
         Smith
        , 
         M. Alex
        ","
      6
     (
      11
     ):
      e27785
     ","
      6
     ","
      11
     ","
      e27785
     ",,,False,"
Forest fragmentation and selective logging are two main drivers of global environmental change and modify biodiversity and environmental conditions in many tropical forests. The consequences of these changes for the functioning of tropical forest ecosystems have rarely been explored in a comprehensive approach. In a Kenyan rainforest, we studied six animal-mediated ecosystem processes and recorded species richness and community composition of all animal taxa involved in these processes. We used linear models and a formal meta-analysis to test whether forest fragmentation and selective logging affected ecosystem processes and biodiversity and used structural equation models to disentangle direct from biodiversity-related indirect effects of human disturbance on multiple ecosystem processes. Fragmentation increased decomposition and reduced antbird predation, while selective logging consistently increased pollination, seed dispersal and army-ant raiding. Fragmentation modified species richness or community composition of five taxa, whereas selective logging did not affect any component of biodiversity. Changes in the abundance of functionally important species were related to lower predation by antbirds and higher decomposition rates in small forest fragments. The positive effects of selective logging on bee pollination, bird seed dispersal and army-ant raiding were direct, i.e. not related to changes in biodiversity, and were probably due to behavioural changes of these highly mobile animal taxa. We conclude that animal-mediated ecosystem processes respond in distinct ways to different types of human disturbance in Kakamega Forest. Our findings suggest that forest fragmentation affects ecosystem processes indirectly by changes in biodiversity, whereas selective logging influences processes directly by modifying local environmental conditions and resource distributions. The positive to neutral effects of selective logging on ecosystem processes show that the functionality of tropical forests can be maintained in moderately disturbed forest fragments. Conservation concepts for tropical forests should thus include not only remaining pristine forests but also functionally viable forest remnants.
",False,
