pandas.index,filename,doi,title,level,section,nchar,status,parser,coordinates,end_char,score,start_char,text,type
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,title,title,58,False,stanza
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,abstract,abstract,1106,False,stanza
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,stanza,"53.57911,6.95262",1624,20.948225,1610,the Wadden Sea,LOC
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,stanza,"-22.92369,-43.1073",2079,13.147197,2062,San Francisco Bay,LOC
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,stanza,"5.85321,-72.54496",2096,14.789843,2087,Australia,GPE
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,stanza,"37.75049,-122.75165",2130,27.286736,2104,The Gulf of the Farallones,LOC
4,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,stanza,"53.57911,6.95262",2150,20.948225,2136,the Wadden Sea,LOC
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,stanza,"5.85321,-72.54496",819,14.789843,810,Australia,GPE
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,stanza,"53.57911,6.95262",1997,20.948225,1983,the Wadden Sea,LOC
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,stanza,"53.57911,6.95262",2875,20.948225,2861,the Wadden Sea,LOC
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,stanza,"53.57911,6.95262",4163,20.948225,4149,the Wadden Sea,LOC
4,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,stanza,"53.57911,6.95262",4722,20.948225,4708,the Wadden Sea,LOC
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Discussion,5718,True,stanza,"44.09284,12.52924",2976,11.116045,2966,California,GPE
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Discussion,5718,True,stanza,"44.5723,-67.31026",3602,17.349514,3585,the Gulf of Maine,LOC
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Discussion,5718,True,stanza,"-18,-63.13333",3711,11.77186,3707,Gulf,LOC
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Discussion,5718,True,stanza,"44.5723,-67.31026",5069,17.349514,5056,Gulf of Maine,LOC
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,stanza,UNDEFINED,398,,393,Dulvy,LOC
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,stanza,"-22.92369,-43.1073",1021,13.147197,1004,San Francisco Bay,LOC
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,stanza,"5.85321,-72.54496",1055,14.789843,1046,Australia,GPE
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,stanza,"38.51518,-121.43412",1230,12.90288,1211,Northern California,LOC
4,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,stanza,"53.57911,6.95262",1343,20.948225,1329,the Wadden Sea,LOC
5,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,stanza,"53.57911,6.95262",1668,20.948225,1654,the Wadden Sea,LOC
6,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,stanza,"53.57911,6.95262",1925,20.948225,1915,Wadden Sea,LOC
7,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,stanza,"53.57911,6.95262",1987,20.948225,1977,Wadden Sea,LOC
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Supporting Information,1430,True,stanza,"-22.92369,-43.1073",297,13.147197,280,San Francisco Bay,LOC
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Supporting Information,1430,True,stanza,"-18,-63.13333",529,11.77186,525,Gulf,LOC
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Supporting Information,1430,True,stanza,"5.85321,-72.54496",776,14.789843,767,Australia,GPE
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Supporting Information,1430,True,stanza,"53.57911,6.95262",1199,20.948225,1185,the Wadden Sea,LOC
0,journal.pone.0000908.xml,10.1371/journal.pone.0000908,Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape,title,title,105,False,stanza
0,journal.pone.0000908.xml,10.1371/journal.pone.0000908,Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape,abstract,abstract,2067,False,stanza
