,DOI,parser,correctPlace,accurates,inaccurates
0,10.1371/journal.pone.0119922,mordecai,Northeast Shelf Large Marine Ecosystem (NES LME),0.0,8.0
1,10.1371/journal.pone.0053139,mordecai,"The European Alps span eight countries, from the Mediterranean shores of Southern France to Slovenia and link with adjacent mountain ranges such as the Carpathians, Balkans and Apennines.",9.0,40.0
2,10.1371/journal.pone.0147058,mordecai,"state of Paraná, southern Brazil, which is located between latitudes 22°29’30”S and 26°42’59”S; and longitudes 48°02’24”W and 54°37’38”W",0.0,13.0
3,10.1371/journal.pone.0111883,mordecai,"On the island, the study areas were within the Lagoa do Peri Municipal Park (PER, 27¡43_30_S, 48¡32_18_W) and the Permanent Protection Area of Ratones (RAT, 27¡31_52_S, 48¡30_45_W). On the mainland, the areas sampled were within the Environmental Protection Area of Anhatomirim in Governador Celso Ramos city (ANH, 27¡25_1_S, 48¡34_25_W), and in Permanent Protection Area in Itapema city (ITA, 27¡05_13_S, 48¡35_54_W).Ê",4.0,37.0
4,10.1371/journal.pone.0102437,mordecai,"The Houguanhu Region (113°41′–114°13′E, 30°15′–30°41′N) lies within the southwestern Wuhan city of Hubei Province in central China",8.0,2.0
5,10.1371/journal.pone.0060756,mordecai,"(4¡ 58_N, 117¡ 48_E",0.0,13.0
6,10.1371/journal.pone.0049024,mordecai,"34¡55_N, 102¡53_E;",0.0,34.0
7,10.1371/journal.pone.0027785,mordecai,"Kakamega Forest in western Kenya (0¡07_Ð0¡27_ N, 34¡46_Ð34¡57_ E)",3.0,32.0
8,10.1371/journal.pone.0038970,mordecai,The research was conducted at eight sites in the Iberian Peninsula,10.0,15.0
9,10.1371/journal.pone.0021972,mordecai,"latitude 50¡ 55_ 48_, longitude 6¡ 55_ 12_",2.0,11.0
10,10.1371/journal.pone.0112436,mordecai,"This study was carried out at the Huanjiang Observation and Research Station for Karst Ecosystems (107°51′–108°43′E, 24°44′–25°33′N), Chinese Academy of Sciences (CAS), Guangxi Province, China",2.0,68.0
11,10.1371/journal.pone.0154026,mordecai,The study area ranges from 34¡25_N to 48¡10_N in latitude and from 73¡40_E to 96¡18_E in longitude,71.0,40.0
12,10.1371/journal.pone.0150520,mordecai,71¡23Õ28ÓW 12¡47Õ21ÓS,0.0,69.0
13,10.1371/journal.pone.0118580,mordecai,"Mobile Bay, Alabama",5.0,10.0
14,10.1371/journal.pone.0123160,mordecai,"44¡45_N, 123¡45_E",0.0,23.0
15,10.1371/journal.pone.0123030,mordecai,"Ê27¼25Õ1ÓS, 48¼34Õ25ÓW), and the other in a Permanent Protection Area in the municipality of Itapema (ITA, 27¼05Õ13ÓS, 48¼35Õ54ÓW). On the island, one study areas lies within the Lagoa do Peri Municipal Park (PER, 27¡43Õ30ÓS, 48¡32Õ18ÓW) and the other in the Permanent Protection Area of Ratones (RAT, 27¡31Õ52ÓS, 48¡30Õ45ÓW",2.0,35.0
16,10.1371/journal.pone.0085513,mordecai,"112¡50_E, 22¡34_N",2.0,23.0
17,10.1371/journal.pone.0084568,mordecai,"Upper Paraná River Floodplain Long Term Ecological Research (LTER) program’s field station located at the Upper Paraná River floodplain, Brazil.",0.0,12.0
18,10.1371/journal.pone.0082792,mordecai,"Changbai Mountain (E 127¡43_ Ð128¡16_; N 41¡41_ Ð42¡51_) in Jilin Province, North-eastern China",5.0,23.0
19,10.1371/journal.pone.0066650,mordecai,"51¡ 37_ 00__ N, 4¡ 01_ 00__ E",4.0,74.0
20,10.1371/journal.pone.0058432,mordecai,"Dawu Village, Maqin Country of Guoluo Tibetan Autonomous Prefecture, Qinghai Province, China",0.0,40.0
21,10.1371/journal.pone.0052821,mordecai,"Cedar Creek Natural History area, a National Science Foundation, Long-Term Ecological Research site in Minnesota, USA (lat. 45° N, Long. 93° W)",0.0,12.0
22,10.1371/journal.pone.0053009,mordecai,"Chamela-Cuixmala Biosphere Reserve (CCBR, 19¡22_Ð19¡39_N, 104¡56_Ð105¡10_W)",0.0,6.0
23,10.1371/journal.pone.0042354,mordecai,"Gongga Mountain (29¡20_Ð30¡20_N, 101¡30_Ð102¡15_E",0.0,22.0
24,10.1371/journal.pone.0040679,mordecai,a 150-km long transect (18¡37_16NÐ92¡42_28W to 18¡30_20NÐ91¡28_03W),0.0,12.0
25,10.1371/journal.pone.0036196,mordecai," University of North Carolina at Chapel Hill’s Institute of Marine Sciences (IMS) in Morehead City, NC",6.0,22.0
26,10.1371/journal.pone.0030506,mordecai,"16¡39.49_N, 95¡0.66_W",2.0,6.0
27,10.1371/journal.pone.0024107,mordecai,Ranomafana National Park (RNP) is located between 47¡ 18_Ð47¡ 37_E and 21¡ 02_Ð21¡ 25 SÊ,32.0,2.0
28,10.1371/journal.pone.0020078,mordecai,"E 116¡42_, N 43¡38_,",7.0,5.0
29,10.1371/journal.pone.0017476,mordecai,German site of the BIODEPTH project,0.0,4.0
30,10.1371/journal.pone.0013666,mordecai," Atlantic Plateau of São Paulo, Brazil",0.0,14.0
31,10.1371/journal.pone.0013382,mordecai,"50¡57_3.09_N, 11¡37_23.49_E",0.0,1.0
32,10.1371/journal.pone.0146228,mordecai,"45¡03ÕN, 142¡07ÕE",1.0,7.0
33,10.1371/journal.pone.0138696,mordecai,coral communities of Moorea Island (French Polynesia),9.0,5.0
