doi,title,journal,publisher,year,vol,issue,xmlfile,pdffile
"
      10.1371/journal.pone.0000295
     ","
       Invasions and Extinctions Reshape Coastal Marine Food Webs
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2007
      ","
      2
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0000295.xml,
"
      10.1371/journal.pone.0000908
     ","
       Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2007
      ","
      2
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0000908.xml,
"
      10.1371/journal.pone.0009677
     ","
       Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2010
      ","
      5
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0009677.xml,
"
      10.1371/journal.pone.0013382
     ","
       Diversity Promotes Temporal Stability across Levels of Ecosystem Organization in Experimental Grasslands
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2010
      ","
      5
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0013382.xml,
"
      10.1371/journal.pone.0013666
     ","
       Beyond the Fragmentation Threshold Hypothesis: Regime Shifts in Biodiversity Across Fragmented Landscapes
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2010
      ","
      5
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0013666.xml,
"
      10.1371/journal.pone.0016584
     ","
       Environmental Conditions Influence the Plant Functional Diversity Effect on Potential Denitrification
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      2
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0016584.xml,
"
      10.1371/journal.pone.0017476
     ","
       Functional Structure of Biological Communities Predicts Ecosystem Multifunctionality
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0017476.xml,
"
      10.1371/journal.pone.0018982
     ","
       Positive Interspecific Relationship between Temporal Occurrence and Abundance in Insects
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0018982.xml,
"
      10.1371/journal.pone.0020078
     ","
       Hierarchical Plant Responses and Diversity Loss after Nitrogen Addition: Testing Three Functionally-Based Hypotheses in the Inner Mongolia Grassland
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      5
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0020078.xml,
"
      10.1371/journal.pone.0021265
     ","
       Predicting Species Diversity of Benthic Communities within Turbid Nearshore Using Full-Waveform Bathymetric LiDAR and Machine Learners
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0021265.xml,
"
      10.1371/journal.pone.0021972
     ","
       Effects of Total Resources, Resource Ratios, and Species Richness on Algal Productivity and Evenness at Both Metacommunity and Local Scales
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0021972.xml,
"
      10.1371/journal.pone.0022905
     ","
       Predator Diversity and Abundance Provide Little Support for the Enemies Hypothesis in Forests of High Tree Diversity
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0022905.xml,
"
      10.1371/journal.pone.0023312
     ","
       A Small Mammal Community in a Forest Fragment, Vegetation Corridor and Coffee Matrix System in the Brazilian Atlantic Forest
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0023312.xml,
"
      10.1371/journal.pone.0024107
     ","
       Assessing Natural Resource Use by Forest-Reliant Communities in Madagascar Using Functional Diversity and Functional Redundancy Metrics
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0024107.xml,
