doi,publisher_name,publisher_abbreviation,citation,title,publish_year,first_author,authors_list,volume_issue_pages,volume,issue,start_page,end_page,keywords_list,no_keywords_list,abstract,no_abstract,url
10.1371/journal.pone.0000295,"
       PLoS ONE
      ",,"
         Byrnes
        , 
         Jarrett E.
        , 
         Reynolds
        , 
         Pamela L.
        , 
         Stachowicz
        , 
         John J.
        , 
         Lusseau
        , 
         David
        . 2007. Invasions and Extinctions Reshape Coastal Marine Food Webs. 
       PLoS ONE
      . ",Invasions and Extinctions Reshape Coastal Marine Food Webs,2007,"
         Byrnes
        , 
         Jarrett E.
        ","
         Byrnes
        , 
         Jarrett E.
        , 
         Reynolds
        , 
         Pamela L.
        , 
         Stachowicz
        , 
         John J.
        , 
         Lusseau
        , 
         David
        ","
      2
     (
      3
     ):
      e295
     ","
      2
     ","
      3
     ","
      e295
     ",,,False,"
The biodiversity of ecosystems worldwide is changing because of species loss due to human-caused extinctions and species gain through intentional and accidental introductions. Here we show that the combined effect of these two processes is altering the trophic structure of food webs in coastal marine systems. This is because most extinctions (∼70%) occur at high trophic levels (top predators and other carnivores), while most invasions are by species from lower trophic levels (70% macroplanktivores, deposit feeders, and detritivores). These opposing changes thus alter the shape of marine food webs from a trophic pyramid capped by a diverse array of predators and consumers to a shorter, squatter configuration dominated by filter feeders and scavengers. The consequences of the simultaneous loss of diversity at top trophic levels and gain at lower trophic levels is largely unknown. However, current research suggests that a better understanding of how such simultaneous changes in diversity can impact ecosystem function will be required to manage coastal ecosystems and forecast future changes.
",False,
10.1371/journal.pone.0000908,"
       PLoS ONE
      ",,"
         Girão
        , 
         Luciana Coe
        , 
         Lopes
        , 
         Ariadna Valentina
        , 
         Tabarelli
        , 
         Marcelo
        , 
         Bruna
        , 
         Emilio M.
        , 
         Chave
        , 
         Jerome
        . 2007. Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape. 
       PLoS ONE
      . ",Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape,2007,"
         Girão
        , 
         Luciana Coe
        ","
         Girão
        , 
         Luciana Coe
        , 
         Lopes
        , 
         Ariadna Valentina
        , 
         Tabarelli
        , 
         Marcelo
        , 
         Bruna
        , 
         Emilio M.
        , 
         Chave
        , 
         Jerome
        ","
      2
     (
      9
     ):
      e908
     ","
      2
     ","
      9
     ","
      e908
     ",,,False,"
Functional diversity has been postulated to be critical for the maintenance of ecosystem functioning, but the way it can be disrupted by human-related disturbances remains poorly investigated. Here we test the hypothesis that habitat fragmentation changes the relative contribution of tree species within categories of reproductive traits (frequency of traits) and reduces the functional diversity of tree assemblages. The study was carried out in an old and severely fragmented landscape of the Brazilian Atlantic forest. We used published information and field observations to obtain the frequency of tree species and individuals within 50 categories of reproductive traits (distributed in four major classes: pollination systems, floral biology, sexual systems, and reproductive systems) in 10 fragments and 10 tracts of forest interior (control plots). As hypothesized, populations in fragments and control plots differed substantially in the representation of the four major classes of reproductive traits (more than 50% of the categories investigated). The most conspicuous differences were the lack of three pollination systems in fragments-pollination by birds, flies and non-flying mammals-and that fragments had a higher frequency of both species and individuals pollinated by generalist vectors. Hermaphroditic species predominate in both habitats, although their relative abundances were higher in fragments. On the contrary, self-incompatible species were underrepresented in fragments. Moreover, fragments showed lower functional diversity (H' scores) for pollination systems (−30.3%), floral types (−23.6%), and floral sizes (−20.8%) in comparison to control plots. In contrast to the overwhelming effect of fragmentation, patch and landscape metrics such as patch size and forest cover played a minor role on the frequency of traits. Our results suggest that habitat fragmentation promotes a marked shift in the relative abundance of tree reproductive traits and greatly reduces the functional diversity of tree assemblages in fragmented landscapes.
",False,
10.1371/journal.pone.0009677,"
       PLoS ONE
      ",,"
         Lundholm
        , 
         Jeremy
        , 
         MacIvor
        , 
         J. Scott
        , 
         MacDougall
        , 
         Zachary
        , 
         Ranalli
        , 
         Melissa
        , 
         Bruun
        , 
         Hans Henrik
        . 2010. Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions. 
       PLoS ONE
      . ",Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions,2010,"
         Lundholm
        , 
         Jeremy
        ","
         Lundholm
        , 
         Jeremy
        , 
         MacIvor
        , 
         J. Scott
        , 
         MacDougall
        , 
         Zachary
        , 
         Ranalli
        , 
         Melissa
        , 
         Bruun
        , 
         Hans Henrik
        ","
      5
     (
      3
     ):
      e9677
     ","
      5
     ","
      3
     ","
      e9677
     ",,,False,"

Background
Green roofs perform ecosystem services such as summer roof temperature reduction and stormwater capture that directly contribute to lower building energy use and potential economic savings. These services are in turn related to ecosystem functions performed by the vegetation layer such as radiation reflection and transpiration, but little work has examined the role of plant species composition and diversity in improving these functions.


Methodology/Principal Findings
We used a replicated modular extensive (shallow growing- medium) green roof system planted with monocultures or mixtures containing one, three or five life-forms, to quantify two ecosystem services: summer roof cooling and water capture. We also measured the related ecosystem properties/processes of albedo, evapotranspiration, and the mean and temporal variability of aboveground biomass over four months. Mixtures containing three or five life-form groups, simultaneously optimized several green roof ecosystem functions, outperforming monocultures and single life-form groups, but there was much variation in performance depending on which life-forms were present in the three life-form mixtures. Some mixtures outperformed the best monocultures for water capture, evapotranspiration, and an index combining both water capture and temperature reductions. Combinations of tall forbs, grasses and succulents simultaneously optimized a range of ecosystem performance measures, thus the main benefit of including all three groups was not to maximize any single process but to perform a variety of functions well.


Conclusions/Significance
Ecosystem services from green roofs can be improved by planting certain life-form groups in combination, directly contributing to climate change mitigation and adaptation strategies. The strong performance by certain mixtures of life-forms, especially tall forbs, grasses and succulents, warrants further investigation into niche complementarity or facilitation as mechanisms governing biodiversity-ecosystem functioning relationships in green roof ecosystems.

",False,
10.1371/journal.pone.0013382,"
       PLoS ONE
      ",,"
         Proulx
        , 
         Raphaël
        , 
         Wirth
        , 
         Christian
        , 
         Voigt
        , 
         Winfried
        , 
         Weigelt
        , 
         Alexandra
        , 
         Roscher
        , 
         Christiane
        , 
         Attinger
        , 
         Sabine
        , 
         Baade
        , 
         Jussi
        , 
         Barnard
        , 
         Romain L.
        , 
         Buchmann
        , 
         Nina
        , 
         Buscot
        , 
         François
        , 
         Eisenhauer
        , 
         Nico
        , 
         Fischer
        , 
         Markus
        , 
         Gleixner
        , 
         Gerd
        , 
         Halle
        , 
         Stefan
        , 
         Hildebrandt
        , 
         Anke
        , 
         Kowalski
        , 
         Esther
        , 
         Kuu
        , 
         Annely
        , 
         Lange
        , 
         Markus
        , 
         Milcu
        , 
         Alex
        , 
         Niklaus
        , 
         Pascal A.
        , 
         Oelmann
        , 
         Yvonne
        , 
         Rosenkranz
        , 
         Stephan
        , 
         Sabais
        , 
         Alexander
        , 
         Scherber
        , 
         Christoph
        , 
         Scherer-Lorenzen
        , 
         Michael
        , 
         Scheu
        , 
         Stefan
        , 
         Schulze
        , 
         Ernst-Detlef
        , 
         Schumacher
        , 
         Jens
        , 
         Schwichtenberg
        , 
         Guido
        , 
         Soussana
        , 
         Jean-François
        , 
         Temperton
        , 
         Vicky M.
        , 
         Weisser
        , 
         Wolfgang W.
        , 
         Wilcke
        , 
         Wolfgang
        , 
         Schmid
        , 
         Bernhard
        , 
         Borevitz
        , 
         Justin O.
        . 2010. Diversity Promotes Temporal Stability across Levels of Ecosystem Organization in Experimental Grasslands. 
       PLoS ONE
      . ",Diversity Promotes Temporal Stability across Levels of Ecosystem Organization in Experimental Grasslands,2010,"
         Proulx
        , 
         Raphaël
        ","
         Proulx
        , 
         Raphaël
        , 
         Wirth
        , 
         Christian
        , 
         Voigt
        , 
         Winfried
        , 
         Weigelt
        , 
         Alexandra
        , 
         Roscher
        , 
         Christiane
        , 
         Attinger
        , 
         Sabine
        , 
         Baade
        , 
         Jussi
        , 
         Barnard
        , 
         Romain L.
        , 
         Buchmann
        , 
         Nina
        , 
         Buscot
        , 
         François
        , 
         Eisenhauer
        , 
         Nico
        , 
         Fischer
        , 
         Markus
        , 
         Gleixner
        , 
         Gerd
        , 
         Halle
        , 
         Stefan
        , 
         Hildebrandt
        , 
         Anke
        , 
         Kowalski
        , 
         Esther
        , 
         Kuu
        , 
         Annely
        , 
         Lange
        , 
         Markus
        , 
         Milcu
        , 
         Alex
        , 
         Niklaus
        , 
         Pascal A.
        , 
         Oelmann
        , 
         Yvonne
        , 
         Rosenkranz
        , 
         Stephan
        , 
         Sabais
        , 
         Alexander
        , 
         Scherber
        , 
         Christoph
        , 
         Scherer-Lorenzen
        , 
         Michael
        , 
         Scheu
        , 
         Stefan
        , 
         Schulze
        , 
         Ernst-Detlef
        , 
         Schumacher
        , 
         Jens
        , 
         Schwichtenberg
        , 
         Guido
        , 
         Soussana
        , 
         Jean-François
        , 
         Temperton
        , 
         Vicky M.
        , 
         Weisser
        , 
         Wolfgang W.
        , 
         Wilcke
        , 
         Wolfgang
        , 
         Schmid
        , 
         Bernhard
        , 
         Borevitz
        , 
         Justin O.
        ","
      5
     (
      10
     ):
      e13382
     ","
      5
     ","
      10
     ","
      e13382
     ",,,False,"
The diversity–stability hypothesis states that current losses of biodiversity can impair the ability of an ecosystem to dampen the effect of environmental perturbations on its functioning. Using data from a long-term and comprehensive biodiversity experiment, we quantified the temporal stability of 42 variables characterizing twelve ecological functions in managed grassland plots varying in plant species richness. We demonstrate that diversity increases stability i) across trophic levels (producer, consumer), ii) at both the system (community, ecosystem) and the component levels (population, functional group, phylogenetic clade), and iii) primarily for aboveground rather than belowground processes. Temporal synchronization across studied variables was mostly unaffected with increasing species richness. This study provides the strongest empirical support so far that diversity promotes stability across different ecological functions and levels of ecosystem organization in grasslands.
",False,
10.1371/journal.pone.0013666,"
       PLoS ONE
      ",,"
         Pardini
        , 
         Renata
        , 
         Bueno
        , 
         Adriana de Arruda
        , 
         Gardner
        , 
         Toby A.
        , 
         Prado
        , 
         Paulo Inácio
        , 
         Metzger
        , 
         Jean Paul
        , 
         Fenton
        , 
         Brock
        . 2010. Beyond the Fragmentation Threshold Hypothesis: Regime Shifts in Biodiversity Across Fragmented Landscapes. 
       PLoS ONE
      . ",Beyond the Fragmentation Threshold Hypothesis: Regime Shifts in Biodiversity Across Fragmented Landscapes,2010,"
         Pardini
        , 
         Renata
        ","
         Pardini
        , 
         Renata
        , 
         Bueno
        , 
         Adriana de Arruda
        , 
         Gardner
        , 
         Toby A.
        , 
         Prado
        , 
         Paulo Inácio
        , 
         Metzger
        , 
         Jean Paul
        , 
         Fenton
        , 
         Brock
        ","
      5
     (
      10
     ):
      e13666
     ","
      5
     ","
      10
     ","
      e13666
     ",,,False,"
Ecological systems are vulnerable to irreversible change when key system properties are pushed over thresholds, resulting in the loss of resilience and the precipitation of a regime shift. Perhaps the most important of such properties in human-modified landscapes is the total amount of remnant native vegetation. In a seminal study Andrén proposed the existence of a fragmentation threshold in the total amount of remnant vegetation, below which landscape-scale connectivity is eroded and local species richness and abundance become dependent on patch size. Despite the fact that species patch-area effects have been a mainstay of conservation science there has yet to be a robust empirical evaluation of this hypothesis. Here we present and test a new conceptual model describing the mechanisms and consequences of biodiversity change in fragmented landscapes, identifying the fragmentation threshold as a first step in a positive feedback mechanism that has the capacity to impair ecological resilience, and drive a regime shift in biodiversity. The model considers that local extinction risk is defined by patch size, and immigration rates by landscape vegetation cover, and that the recovery from local species losses depends upon the landscape species pool. Using a unique dataset on the distribution of non-volant small mammals across replicate landscapes in the Atlantic forest of Brazil, we found strong evidence for our model predictions - that patch-area effects are evident only at intermediate levels of total forest cover, where landscape diversity is still high and opportunities for enhancing biodiversity through local management are greatest. Furthermore, high levels of forest loss can push native biota through an extinction filter, and result in the abrupt, landscape-wide loss of forest-specialist taxa, ecological resilience and management effectiveness. The proposed model links hitherto distinct theoretical approaches within a single framework, providing a powerful tool for analysing the potential effectiveness of management interventions.
",False,
10.1371/journal.pone.0016584,"
       PLoS ONE
      ",,"
         Sutton-Grier
        , 
         Ariana E.
        , 
         Wright
        , 
         Justin P.
        , 
         McGill
        , 
         Bonnie M.
        , 
         Richardson
        , 
         Curtis
        , 
         Gilbert
        , 
         Jack
        . 2011. Environmental Conditions Influence the Plant Functional Diversity Effect on Potential Denitrification. 
       PLoS ONE
      . ",Environmental Conditions Influence the Plant Functional Diversity Effect on Potential Denitrification,2011,"
         Sutton-Grier
        , 
         Ariana E.
        ","
         Sutton-Grier
        , 
         Ariana E.
        , 
         Wright
        , 
         Justin P.
        , 
         McGill
        , 
         Bonnie M.
        , 
         Richardson
        , 
         Curtis
        , 
         Gilbert
        , 
         Jack
        ","
      6
     (
      2
     ):
      e16584
     ","
      6
     ","
      2
     ","
      e16584
     ",,,False,"
Global biodiversity loss has prompted research on the relationship between species diversity and ecosystem functioning. Few studies have examined how plant diversity impacts belowground processes; even fewer have examined how varying resource levels can influence the effect of plant diversity on microbial activity. In a field experiment in a restored wetland, we examined the role of plant trait diversity (or functional diversity, (FD)) and its interactions with natural levels of variability of soil properties, on a microbial process, denitrification potential (DNP). We demonstrated that FD significantly affected microbial DNP through its interactions with soil conditions; increasing FD led to increased DNP but mainly at higher levels of soil resources. Our results suggest that the effect of species diversity on ecosystem functioning may depend on environmental factors such as resource availability. Future biodiversity experiments should examine how natural levels of environmental variability impact the importance of biodiversity to ecosystem functioning.
",False,
10.1371/journal.pone.0017476,"
       PLoS ONE
      ",,"
         Mouillot
        , 
         David
        , 
         Villéger
        , 
         Sébastien
        , 
         Scherer-Lorenzen
        , 
         Michael
        , 
         Mason
        , 
         Norman W. H.
        , 
         Romanuk
        , 
         Tamara
        . 2011. Functional Structure of Biological Communities Predicts Ecosystem Multifunctionality. 
       PLoS ONE
      . ",Functional Structure of Biological Communities Predicts Ecosystem Multifunctionality,2011,"
         Mouillot
        , 
         David
        ","
         Mouillot
        , 
         David
        , 
         Villéger
        , 
         Sébastien
        , 
         Scherer-Lorenzen
        , 
         Michael
        , 
         Mason
        , 
         Norman W. H.
        , 
         Romanuk
        , 
         Tamara
        ","
      6
     (
      3
     ):
      e17476
     ","
      6
     ","
      3
     ","
      e17476
     ",,,False,"
The accelerating rate of change in biodiversity patterns, mediated by ever increasing human pressures and global warming, demands a better understanding of the relationship between the structure of biological communities and ecosystem functioning (BEF). Recent investigations suggest that the functional structure of communities, i.e. the composition and diversity of functional traits, is the main driver of ecological processes. However, the predictive power of BEF research is still low, the integration of all components of functional community structure as predictors is still lacking, and the multifunctionality of ecosystems (i.e. rates of multiple processes) must be considered. Here, using a multiple-processes framework from grassland biodiversity experiments, we show that functional identity of species and functional divergence among species, rather than species diversity 
       
        per se
       , together promote the level of ecosystem multifunctionality with a predictive power of 80%. Our results suggest that primary productivity and decomposition rates, two key ecosystem processes upon which the global carbon cycle depends, are primarily sustained by specialist species, i.e. those that hold specialized combinations of traits and perform particular functions. Contrary to studies focusing on single ecosystem functions and considering species richness as the sole measure of biodiversity, we found a linear and non-saturating effect of the functional structure of communities on ecosystem multifunctionality. Thus, sustaining multiple ecological processes would require focusing on trait dominance and on the degree of community specialization, even in species-rich assemblages.
",False,
10.1371/journal.pone.0018982,"
       PLoS ONE
      ",,"
         Scrosati
        , 
         Ricardo A.
        , 
         Patten
        , 
         Ruth D.
        , 
         Lauff
        , 
         Randolph F.
        , 
         Boyce
        , 
         Mark S.
        . 2011. Positive Interspecific Relationship between Temporal Occurrence and Abundance in Insects. 
       PLoS ONE
      . ",Positive Interspecific Relationship between Temporal Occurrence and Abundance in Insects,2011,"
         Scrosati
        , 
         Ricardo A.
        ","
         Scrosati
        , 
         Ricardo A.
        , 
         Patten
        , 
         Ruth D.
        , 
         Lauff
        , 
         Randolph F.
        , 
         Boyce
        , 
         Mark S.
        ","
      6
     (
      4
     ):
      e18982
     ","
      6
     ","
      4
     ","
      e18982
     ",,,False,"
One of the most studied macroecological patterns is the interspecific abundance–occupancy relationship, which relates species distribution and abundance across space. Interspecific relationships between temporal distribution and abundance, however, remain largely unexplored. Using data for a natural assemblage of tabanid flies measured daily during spring and summer in Nova Scotia, we found that temporal occurrence (proportion of sampling dates in which a species occurred in an experimental trap) was positively related to temporal mean abundance (number of individuals collected for a species during the study period divided by the total number of sampling dates). Moreover, two models that often describe spatial abundance–occupancy relationships well, the He–Gaston and negative binomial models, explained a high amount of the variation in our temporal data. As for the spatial abundance–occupancy relationship, the (temporal) aggregation parameter, 
       
        k
       , emerged as an important component of the hereby named interspecific temporal abundance–occurrence relationship. This may be another case in which a macroecological pattern shows similarities across space and time, and it deserves further research because it may improve our ability to forecast colonization dynamics and biological impacts.
",False,
10.1371/journal.pone.0020078,"
       PLoS ONE
      ",,"
         Pan
        , 
         Qingmin
        , 
         Bai
        , 
         Yongfei
        , 
         Wu
        , 
         Jianguo
        , 
         Han
        , 
         Xingguo
        , 
         Moen
        , 
         Jon
        . 2011. Hierarchical Plant Responses and Diversity Loss after Nitrogen Addition: Testing Three Functionally-Based Hypotheses in the Inner Mongolia Grassland. 
       PLoS ONE
      . ",Hierarchical Plant Responses and Diversity Loss after Nitrogen Addition: Testing Three Functionally-Based Hypotheses in the Inner Mongolia Grassland,2011,"
         Pan
        , 
         Qingmin
        ","
         Pan
        , 
         Qingmin
        , 
         Bai
        , 
         Yongfei
        , 
         Wu
        , 
         Jianguo
        , 
         Han
        , 
         Xingguo
        , 
         Moen
        , 
         Jon
        ","
      6
     (
      5
     ):
      e20078
     ","
      6
     ","
      5
     ","
      e20078
     ",,,False,"

Background
Numerous studies have shown that nitrogen (N) deposition decreases biodiversity in terrestrial ecosystems. To explain the N-induced species loss, three functionally based hypotheses have been proposed: the aboveground competition hypothesis, the belowground competition hypothesis, and the total competition hypothesis. However, none of them is supported sufficiently by field experiments. A main challenge to testing these hypotheses is to ascertain the role of shoot and root competition in controlling plant responses to N enrichment. Simultaneously examining both aboveground and belowground responses in natural ecosystems is logistically complex, and has rarely been done.


Methodology/Principal Findings
In a two-year N addition experiment conducted in a natural grassland ecosystem, we investigated both above- and belowground responses of plants at the individual, species, and community levels. Plants differed significantly in their responses to N addition across the different organizational levels. The community-level species loss was mainly due to the loss of perennial grasses and forbs, while the relative abundance of plant species was dependent mainly on individual-level responses. Plasticity in biomass allocation was much smaller within a species than between species, providing a biological basis for explaining the functionally based species loss. All species increased biomass allocation to aboveground parts, but species with high belowground allocations were replaced by those with high aboveground allocations, indicating that the increased aboveground competition was the key process responsible for the observed diversity loss after N addition in this grassland ecosystem.


Conclusions/Significance
Our findings shed new light on the validity of the three competing hypotheses concerning species loss in response to N enrichment. They also have important implications for predicting the future impacts of N deposition on the structure and functioning of terrestrial ecosystems. In addition, we have developed a new technique for ascertaining the roles of aboveground and belowground competition in determining plant responses to N fertilization.

",False,
10.1371/journal.pone.0021265,"
       PLoS ONE
      ",,"
         Collin
        , 
         Antoine
        , 
         Archambault
        , 
         Phillippe
        , 
         Long
        , 
         Bernard
        , 
         Browman
        , 
         Howard
        . 2011. Predicting Species Diversity of Benthic Communities within Turbid Nearshore Using Full-Waveform Bathymetric LiDAR and Machine Learners. 
       PLoS ONE
      . ",Predicting Species Diversity of Benthic Communities within Turbid Nearshore Using Full-Waveform Bathymetric LiDAR and Machine Learners,2011,"
         Collin
        , 
         Antoine
        ","
         Collin
        , 
         Antoine
        , 
         Archambault
        , 
         Phillippe
        , 
         Long
        , 
         Bernard
        , 
         Browman
        , 
         Howard
        ","
      6
     (
      6
     ):
      e21265
     ","
      6
     ","
      6
     ","
      e21265
     ",,,False,"
Epi-macrobenthic species richness, abundance and composition are linked with type, assemblage and structural complexity of seabed habitat within coastal ecosystems. However, the evaluation of these habitats is highly hindered by limitations related to both waterborne surveys (slow acquisition, shallow water and low reactivity) and water clarity (turbid for most coastal areas). Substratum type/diversity and bathymetric features were elucidated using a supervised method applied to airborne bathymetric LiDAR waveforms over Saint-Siméon–Bonaventure's nearshore area (Gulf of Saint-Lawrence, Québec, Canada). High-resolution underwater photographs were taken at three hundred stations across an 8-km2 study area. Seven models based upon state-of-the-art machine learning techniques such as Naïve Bayes, Regression Tree, Classification Tree, C 4.5, Random Forest, Support Vector Machine, and CN2 learners were tested for predicting eight epi-macrobenthic species diversity metrics as a function of the class number. The Random Forest outperformed other models with a three-discretized Simpson index applied to epi-macrobenthic communities, explaining 69% (Classification Accuracy) of its variability by mean bathymetry, time range and skewness derived from the LiDAR waveform. Corroborating marine ecological theory, areas with low Simpson epi-macrobenthic diversity responded to low water depths, high skewness and time range, whereas higher Simpson diversity relied upon deeper bottoms (correlated with stronger hydrodynamics) and low skewness and time range. The degree of species heterogeneity was therefore positively linked with the degree of the structural complexity of the benthic cover. This work underpins that fully exploited bathymetric LiDAR (not only bathymetrically derived by-products), coupled with proficient machine learner, is able to rapidly predict habitat characteristics at a spatial resolution relevant to epi-macrobenthos diversity, ranging from clear to turbid waters. This method might serve both to nurture marine ecological theory and to manage areas with high species heterogeneity where navigation is hazardous and water clarity opaque to passive optical sensors.
",False,
