doi,publisher_name,publisher_abbreviation,citation,title,publish_year,first_author,authors_list,volume_issue_pages,volume,issue,start_page,end_page,keywords_list,no_keywords_list,abstract,no_abstract,url
"
      10.1371/journal.pone.0000908
     ","
       PLoS ONE
      ",,"
         Girão
        , 
         Luciana Coe
        , 
         Lopes
        , 
         Ariadna Valentina
        , 
         Tabarelli
        , 
         Marcelo
        , 
         Bruna
        , 
         Emilio M.
        , 
         Chave
        , 
         Jerome
        . 
       2007
      . 
       Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape
      . 
       PLoS ONE
      . ","
       Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape
      ","
       2007
      ","
         Girão
        , 
         Luciana Coe
        ","
         Girão
        , 
         Luciana Coe
        , 
         Lopes
        , 
         Ariadna Valentina
        , 
         Tabarelli
        , 
         Marcelo
        , 
         Bruna
        , 
         Emilio M.
        , 
         Chave
        , 
         Jerome
        ","
      2
     (
      9
     ):
      e908
     ","
      2
     ","
      9
     ","
      e908
     ",,,False,"
Functional diversity has been postulated to be critical for the maintenance of ecosystem functioning, but the way it can be disrupted by human-related disturbances remains poorly investigated. Here we test the hypothesis that habitat fragmentation changes the relative contribution of tree species within categories of reproductive traits (frequency of traits) and reduces the functional diversity of tree assemblages. The study was carried out in an old and severely fragmented landscape of the Brazilian Atlantic forest. We used published information and field observations to obtain the frequency of tree species and individuals within 50 categories of reproductive traits (distributed in four major classes: pollination systems, floral biology, sexual systems, and reproductive systems) in 10 fragments and 10 tracts of forest interior (control plots). As hypothesized, populations in fragments and control plots differed substantially in the representation of the four major classes of reproductive traits (more than 50% of the categories investigated). The most conspicuous differences were the lack of three pollination systems in fragments-pollination by birds, flies and non-flying mammals-and that fragments had a higher frequency of both species and individuals pollinated by generalist vectors. Hermaphroditic species predominate in both habitats, although their relative abundances were higher in fragments. On the contrary, self-incompatible species were underrepresented in fragments. Moreover, fragments showed lower functional diversity (H' scores) for pollination systems (−30.3%), floral types (−23.6%), and floral sizes (−20.8%) in comparison to control plots. In contrast to the overwhelming effect of fragmentation, patch and landscape metrics such as patch size and forest cover played a minor role on the frequency of traits. Our results suggest that habitat fragmentation promotes a marked shift in the relative abundance of tree reproductive traits and greatly reduces the functional diversity of tree assemblages in fragmented landscapes.
",False,
"
      10.1371/journal.pone.0009677
     ","
       PLoS ONE
      ",,"
         Lundholm
        , 
         Jeremy
        , 
         MacIvor
        , 
         J. Scott
        , 
         MacDougall
        , 
         Zachary
        , 
         Ranalli
        , 
         Melissa
        , 
         Bruun
        , 
         Hans Henrik
        . 
       2010
      . 
       Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions
      . 
       PLoS ONE
      . ","
       Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions
      ","
       2010
      ","
         Lundholm
        , 
         Jeremy
        ","
         Lundholm
        , 
         Jeremy
        , 
         MacIvor
        , 
         J. Scott
        , 
         MacDougall
        , 
         Zachary
        , 
         Ranalli
        , 
         Melissa
        , 
         Bruun
        , 
         Hans Henrik
        ","
      5
     (
      3
     ):
      e9677
     ","
      5
     ","
      3
     ","
      e9677
     ",,,False,"

Background
Green roofs perform ecosystem services such as summer roof temperature reduction and stormwater capture that directly contribute to lower building energy use and potential economic savings. These services are in turn related to ecosystem functions performed by the vegetation layer such as radiation reflection and transpiration, but little work has examined the role of plant species composition and diversity in improving these functions.


Methodology/Principal Findings
We used a replicated modular extensive (shallow growing- medium) green roof system planted with monocultures or mixtures containing one, three or five life-forms, to quantify two ecosystem services: summer roof cooling and water capture. We also measured the related ecosystem properties/processes of albedo, evapotranspiration, and the mean and temporal variability of aboveground biomass over four months. Mixtures containing three or five life-form groups, simultaneously optimized several green roof ecosystem functions, outperforming monocultures and single life-form groups, but there was much variation in performance depending on which life-forms were present in the three life-form mixtures. Some mixtures outperformed the best monocultures for water capture, evapotranspiration, and an index combining both water capture and temperature reductions. Combinations of tall forbs, grasses and succulents simultaneously optimized a range of ecosystem performance measures, thus the main benefit of including all three groups was not to maximize any single process but to perform a variety of functions well.


Conclusions/Significance
Ecosystem services from green roofs can be improved by planting certain life-form groups in combination, directly contributing to climate change mitigation and adaptation strategies. The strong performance by certain mixtures of life-forms, especially tall forbs, grasses and succulents, warrants further investigation into niche complementarity or facilitation as mechanisms governing biodiversity-ecosystem functioning relationships in green roof ecosystems.

",False,
"
      10.1371/journal.pone.0013382
     ","
       PLoS ONE
      ",,"
         Proulx
        , 
         Raphaël
        , 
         Wirth
        , 
         Christian
        , 
         Voigt
        , 
         Winfried
        , 
         Weigelt
        , 
         Alexandra
        , 
         Roscher
        , 
         Christiane
        , 
         Attinger
        , 
         Sabine
        , 
         Baade
        , 
         Jussi
        , 
         Barnard
        , 
         Romain L.
        , 
         Buchmann
        , 
         Nina
        , 
         Buscot
        , 
         François
        , 
         Eisenhauer
        , 
         Nico
        , 
         Fischer
        , 
         Markus
        , 
         Gleixner
        , 
         Gerd
        , 
         Halle
        , 
         Stefan
        , 
         Hildebrandt
        , 
         Anke
        , 
         Kowalski
        , 
         Esther
        , 
         Kuu
        , 
         Annely
        , 
         Lange
        , 
         Markus
        , 
         Milcu
        , 
         Alex
        , 
         Niklaus
        , 
         Pascal A.
        , 
         Oelmann
        , 
         Yvonne
        , 
         Rosenkranz
        , 
         Stephan
        , 
         Sabais
        , 
         Alexander
        , 
         Scherber
        , 
         Christoph
        , 
         Scherer-Lorenzen
        , 
         Michael
        , 
         Scheu
        , 
         Stefan
        , 
         Schulze
        , 
         Ernst-Detlef
        , 
         Schumacher
        , 
         Jens
        , 
         Schwichtenberg
        , 
         Guido
        , 
         Soussana
        , 
         Jean-François
        , 
         Temperton
        , 
         Vicky M.
        , 
         Weisser
        , 
         Wolfgang W.
        , 
         Wilcke
        , 
         Wolfgang
        , 
         Schmid
        , 
         Bernhard
        , 
         Borevitz
        , 
         Justin O.
        . 
       2010
      . 
       Diversity Promotes Temporal Stability across Levels of Ecosystem Organization in Experimental Grasslands
      . 
       PLoS ONE
      . ","
       Diversity Promotes Temporal Stability across Levels of Ecosystem Organization in Experimental Grasslands
      ","
       2010
      ","
         Proulx
        , 
         Raphaël
        ","
         Proulx
        , 
         Raphaël
        , 
         Wirth
        , 
         Christian
        , 
         Voigt
        , 
         Winfried
        , 
         Weigelt
        , 
         Alexandra
        , 
         Roscher
        , 
         Christiane
        , 
         Attinger
        , 
         Sabine
        , 
         Baade
        , 
         Jussi
        , 
         Barnard
        , 
         Romain L.
        , 
         Buchmann
        , 
         Nina
        , 
         Buscot
        , 
         François
        , 
         Eisenhauer
        , 
         Nico
        , 
         Fischer
        , 
         Markus
        , 
         Gleixner
        , 
         Gerd
        , 
         Halle
        , 
         Stefan
        , 
         Hildebrandt
        , 
         Anke
        , 
         Kowalski
        , 
         Esther
        , 
         Kuu
        , 
         Annely
        , 
         Lange
        , 
         Markus
        , 
         Milcu
        , 
         Alex
        , 
         Niklaus
        , 
         Pascal A.
        , 
         Oelmann
        , 
         Yvonne
        , 
         Rosenkranz
        , 
         Stephan
        , 
         Sabais
        , 
         Alexander
        , 
         Scherber
        , 
         Christoph
        , 
         Scherer-Lorenzen
        , 
         Michael
        , 
         Scheu
        , 
         Stefan
        , 
         Schulze
        , 
         Ernst-Detlef
        , 
         Schumacher
        , 
         Jens
        , 
         Schwichtenberg
        , 
         Guido
        , 
         Soussana
        , 
         Jean-François
        , 
         Temperton
        , 
         Vicky M.
        , 
         Weisser
        , 
         Wolfgang W.
        , 
         Wilcke
        , 
         Wolfgang
        , 
         Schmid
        , 
         Bernhard
        , 
         Borevitz
        , 
         Justin O.
        ","
      5
     (
      10
     ):
      e13382
     ","
      5
     ","
      10
     ","
      e13382
     ",,,False,"
The diversity–stability hypothesis states that current losses of biodiversity can impair the ability of an ecosystem to dampen the effect of environmental perturbations on its functioning. Using data from a long-term and comprehensive biodiversity experiment, we quantified the temporal stability of 42 variables characterizing twelve ecological functions in managed grassland plots varying in plant species richness. We demonstrate that diversity increases stability i) across trophic levels (producer, consumer), ii) at both the system (community, ecosystem) and the component levels (population, functional group, phylogenetic clade), and iii) primarily for aboveground rather than belowground processes. Temporal synchronization across studied variables was mostly unaffected with increasing species richness. This study provides the strongest empirical support so far that diversity promotes stability across different ecological functions and levels of ecosystem organization in grasslands.
",False,
"
      10.1371/journal.pone.0018982
     ","
       PLoS ONE
      ",,"
         Scrosati
        , 
         Ricardo A.
        , 
         Patten
        , 
         Ruth D.
        , 
         Lauff
        , 
         Randolph F.
        , 
         Boyce
        , 
         Mark S.
        . 
       2011
      . 
       Positive Interspecific Relationship between Temporal Occurrence and Abundance in Insects
      . 
       PLoS ONE
      . ","
       Positive Interspecific Relationship between Temporal Occurrence and Abundance in Insects
      ","
       2011
      ","
         Scrosati
        , 
         Ricardo A.
        ","
         Scrosati
        , 
         Ricardo A.
        , 
         Patten
        , 
         Ruth D.
        , 
         Lauff
        , 
         Randolph F.
        , 
         Boyce
        , 
         Mark S.
        ","
      6
     (
      4
     ):
      e18982
     ","
      6
     ","
      4
     ","
      e18982
     ",,,False,"
One of the most studied macroecological patterns is the interspecific abundance–occupancy relationship, which relates species distribution and abundance across space. Interspecific relationships between temporal distribution and abundance, however, remain largely unexplored. Using data for a natural assemblage of tabanid flies measured daily during spring and summer in Nova Scotia, we found that temporal occurrence (proportion of sampling dates in which a species occurred in an experimental trap) was positively related to temporal mean abundance (number of individuals collected for a species during the study period divided by the total number of sampling dates). Moreover, two models that often describe spatial abundance–occupancy relationships well, the He–Gaston and negative binomial models, explained a high amount of the variation in our temporal data. As for the spatial abundance–occupancy relationship, the (temporal) aggregation parameter, 
       
        k
       , emerged as an important component of the hereby named interspecific temporal abundance–occurrence relationship. This may be another case in which a macroecological pattern shows similarities across space and time, and it deserves further research because it may improve our ability to forecast colonization dynamics and biological impacts.
",False,
"
      10.1371/journal.pone.0020078
     ","
       PLoS ONE
      ",,"
         Pan
        , 
         Qingmin
        , 
         Bai
        , 
         Yongfei
        , 
         Wu
        , 
         Jianguo
        , 
         Han
        , 
         Xingguo
        , 
         Moen
        , 
         Jon
        . 
       2011
      . 
       Hierarchical Plant Responses and Diversity Loss after Nitrogen Addition: Testing Three Functionally-Based Hypotheses in the Inner Mongolia Grassland
      . 
       PLoS ONE
      . ","
       Hierarchical Plant Responses and Diversity Loss after Nitrogen Addition: Testing Three Functionally-Based Hypotheses in the Inner Mongolia Grassland
      ","
       2011
      ","
         Pan
        , 
         Qingmin
        ","
         Pan
        , 
         Qingmin
        , 
         Bai
        , 
         Yongfei
        , 
         Wu
        , 
         Jianguo
        , 
         Han
        , 
         Xingguo
        , 
         Moen
        , 
         Jon
        ","
      6
     (
      5
     ):
      e20078
     ","
      6
     ","
      5
     ","
      e20078
     ",,,False,"

Background
Numerous studies have shown that nitrogen (N) deposition decreases biodiversity in terrestrial ecosystems. To explain the N-induced species loss, three functionally based hypotheses have been proposed: the aboveground competition hypothesis, the belowground competition hypothesis, and the total competition hypothesis. However, none of them is supported sufficiently by field experiments. A main challenge to testing these hypotheses is to ascertain the role of shoot and root competition in controlling plant responses to N enrichment. Simultaneously examining both aboveground and belowground responses in natural ecosystems is logistically complex, and has rarely been done.


Methodology/Principal Findings
In a two-year N addition experiment conducted in a natural grassland ecosystem, we investigated both above- and belowground responses of plants at the individual, species, and community levels. Plants differed significantly in their responses to N addition across the different organizational levels. The community-level species loss was mainly due to the loss of perennial grasses and forbs, while the relative abundance of plant species was dependent mainly on individual-level responses. Plasticity in biomass allocation was much smaller within a species than between species, providing a biological basis for explaining the functionally based species loss. All species increased biomass allocation to aboveground parts, but species with high belowground allocations were replaced by those with high aboveground allocations, indicating that the increased aboveground competition was the key process responsible for the observed diversity loss after N addition in this grassland ecosystem.


Conclusions/Significance
Our findings shed new light on the validity of the three competing hypotheses concerning species loss in response to N enrichment. They also have important implications for predicting the future impacts of N deposition on the structure and functioning of terrestrial ecosystems. In addition, we have developed a new technique for ascertaining the roles of aboveground and belowground competition in determining plant responses to N fertilization.

",False,
"
      10.1371/journal.pone.0021265
     ","
       PLoS ONE
      ",,"
         Collin
        , 
         Antoine
        , 
         Archambault
        , 
         Phillippe
        , 
         Long
        , 
         Bernard
        , 
         Browman
        , 
         Howard
        . 
       2011
      . 
       Predicting Species Diversity of Benthic Communities within Turbid Nearshore Using Full-Waveform Bathymetric LiDAR and Machine Learners
      . 
       PLoS ONE
      . ","
       Predicting Species Diversity of Benthic Communities within Turbid Nearshore Using Full-Waveform Bathymetric LiDAR and Machine Learners
      ","
       2011
      ","
         Collin
        , 
         Antoine
        ","
         Collin
        , 
         Antoine
        , 
         Archambault
        , 
         Phillippe
        , 
         Long
        , 
         Bernard
        , 
         Browman
        , 
         Howard
        ","
      6
     (
      6
     ):
      e21265
     ","
      6
     ","
      6
     ","
      e21265
     ",,,False,"
Epi-macrobenthic species richness, abundance and composition are linked with type, assemblage and structural complexity of seabed habitat within coastal ecosystems. However, the evaluation of these habitats is highly hindered by limitations related to both waterborne surveys (slow acquisition, shallow water and low reactivity) and water clarity (turbid for most coastal areas). Substratum type/diversity and bathymetric features were elucidated using a supervised method applied to airborne bathymetric LiDAR waveforms over Saint-Siméon–Bonaventure's nearshore area (Gulf of Saint-Lawrence, Québec, Canada). High-resolution underwater photographs were taken at three hundred stations across an 8-km2 study area. Seven models based upon state-of-the-art machine learning techniques such as Naïve Bayes, Regression Tree, Classification Tree, C 4.5, Random Forest, Support Vector Machine, and CN2 learners were tested for predicting eight epi-macrobenthic species diversity metrics as a function of the class number. The Random Forest outperformed other models with a three-discretized Simpson index applied to epi-macrobenthic communities, explaining 69% (Classification Accuracy) of its variability by mean bathymetry, time range and skewness derived from the LiDAR waveform. Corroborating marine ecological theory, areas with low Simpson epi-macrobenthic diversity responded to low water depths, high skewness and time range, whereas higher Simpson diversity relied upon deeper bottoms (correlated with stronger hydrodynamics) and low skewness and time range. The degree of species heterogeneity was therefore positively linked with the degree of the structural complexity of the benthic cover. This work underpins that fully exploited bathymetric LiDAR (not only bathymetrically derived by-products), coupled with proficient machine learner, is able to rapidly predict habitat characteristics at a spatial resolution relevant to epi-macrobenthos diversity, ranging from clear to turbid waters. This method might serve both to nurture marine ecological theory and to manage areas with high species heterogeneity where navigation is hazardous and water clarity opaque to passive optical sensors.
",False,
"
      10.1371/journal.pone.0021972
     ","
       PLoS ONE
      ",,"
         Gamfeldt
        , 
         Lars
        , 
         Hillebrand
        , 
         Helmut
        , 
         Brockhurst
        , 
         Michael A.
        . 
       2011
      . 
       Effects of Total Resources, Resource Ratios, and Species Richness on Algal Productivity and Evenness at Both Metacommunity and Local Scales
      . 
       PLoS ONE
      . ","
       Effects of Total Resources, Resource Ratios, and Species Richness on Algal Productivity and Evenness at Both Metacommunity and Local Scales
      ","
       2011
      ","
         Gamfeldt
        , 
         Lars
        ","
         Gamfeldt
        , 
         Lars
        , 
         Hillebrand
        , 
         Helmut
        , 
         Brockhurst
        , 
         Michael A.
        ","
      6
     (
      7
     ):
      e21972
     ","
      6
     ","
      7
     ","
      e21972
     ",,,False,"
The study of the interrelationship between productivity and biodiversity is a major research field in ecology. Theory predicts that if essential resources are heterogeneously distributed across a metacommunity, single species may dominate productivity in individual metacommunity patches, but a mixture of species will maximize productivity across the whole metacommunity. It also predicts that a balanced supply of resources within local patches should favor species coexistence, whereas resource imbalance would favor the dominance of one species. We performed an experiment with five freshwater algal species to study the effects of total supply of resources, their ratios, and species richness on biovolume production and evenness at the scale of both local patches and metacommunities. Generally, algal biovolume increased, whereas algal resource use efficiency (RUE) and evenness decreased with increasing total supply of resources in mixed communities containing all five species. In contrast to predictions for biovolume production, the species mixtures did not outperform all monocultures at the scale of metacommunities. In other words, we observed no general transgressive overyielding. However, RUE was always higher in mixtures than predicted from monocultures, and analyses indicate that resource partitioning or facilitation in mixtures resulted in higher-than-expected productivity at high resource supply. Contrasting our predictions for the local scale, balanced supply of resources did not generally favor higher local evenness, however lowest evenness was confined to patches with the most imbalanced supply. Thus, our study provides mixed support for recent theoretical advancements to understand biodiversity-productivity relationships.
",False,
"
      10.1371/journal.pone.0022905
     ","
       PLoS ONE
      ",,"
         Schuldt
        , 
         Andreas
        , 
         Both
        , 
         Sabine
        , 
         Bruelheide
        , 
         Helge
        , 
         Härdtle
        , 
         Werner
        , 
         Schmid
        , 
         Bernhard
        , 
         Zhou
        , 
         Hongzhang
        , 
         Assmann
        , 
         Thorsten
        , 
         Boyce
        , 
         Mark S.
        . 
       2011
      . 
       Predator Diversity and Abundance Provide Little Support for the Enemies Hypothesis in Forests of High Tree Diversity
      . 
       PLoS ONE
      . ","
       Predator Diversity and Abundance Provide Little Support for the Enemies Hypothesis in Forests of High Tree Diversity
      ","
       2011
      ","
         Schuldt
        , 
         Andreas
        ","
         Schuldt
        , 
         Andreas
        , 
         Both
        , 
         Sabine
        , 
         Bruelheide
        , 
         Helge
        , 
         Härdtle
        , 
         Werner
        , 
         Schmid
        , 
         Bernhard
        , 
         Zhou
        , 
         Hongzhang
        , 
         Assmann
        , 
         Thorsten
        , 
         Boyce
        , 
         Mark S.
        ","
      6
     (
      7
     ):
      e22905
     ","
      6
     ","
      7
     ","
      e22905
     ",,,False,"
Predatory arthropods can exert strong top-down control on ecosystem functions. However, despite extensive theory and experimental manipulations of predator diversity, our knowledge about relationships between plant and predator diversity—and thus information on the relevance of experimental findings—for species-rich, natural ecosystems is limited. We studied activity abundance and species richness of epigeic spiders in a highly diverse forest ecosystem in subtropical China across 27 forest stands which formed a gradient in tree diversity of 25–69 species per plot. The enemies hypothesis predicts higher predator abundance and diversity, and concomitantly more effective top-down control of food webs, with increasing plant diversity. However, in our study, activity abundance and observed species richness of spiders decreased with increasing tree species richness. There was only a weak, non-significant relationship with tree richness when spider richness was rarefied, i.e. corrected for different total abundances of spiders. Only foraging guild richness (i.e. the diversity of hunting modes) of spiders was positively related to tree species richness. Plant species richness in the herb layer had no significant effects on spiders. Our results thus provide little support for the enemies hypothesis—derived from studies in less diverse ecosystems—of a positive relationship between predator and plant diversity. Our findings for an important group of generalist predators question whether stronger top-down control of food webs can be expected in the more plant diverse stands of our forest ecosystem. Biotic interactions could play important roles in mediating the observed relationships between spider and plant diversity, but further testing is required for a more detailed mechanistic understanding. Our findings have implications for evaluating the way in which theoretical predictions and experimental findings of functional predator effects apply to species-rich forest ecosystems, in which trophic interactions are often considered to be of crucial importance for the maintenance of high plant diversity.
",False,
"
      10.1371/journal.pone.0023312
     ","
       PLoS ONE
      ",,"
         Rocha
        , 
         Mariana Ferreira
        , 
         Passamani
        , 
         Marcelo
        , 
         Louzada
        , 
         Júlio
        , 
         Merenlender
        , 
         Adina Maya
        . 
       2011
      . 
       A Small Mammal Community in a Forest Fragment, Vegetation Corridor and Coffee Matrix System in the Brazilian Atlantic Forest
      . 
       PLoS ONE
      . ","
       A Small Mammal Community in a Forest Fragment, Vegetation Corridor and Coffee Matrix System in the Brazilian Atlantic Forest
      ","
       2011
      ","
         Rocha
        , 
         Mariana Ferreira
        ","
         Rocha
        , 
         Mariana Ferreira
        , 
         Passamani
        , 
         Marcelo
        , 
         Louzada
        , 
         Júlio
        , 
         Merenlender
        , 
         Adina Maya
        ","
      6
     (
      8
     ):
      e23312
     ","
      6
     ","
      8
     ","
      e23312
     ",,,False,"
The objective of our work was to verify the value of the vegetation corridor in the conservation of small mammals in fragmented tropical landscapes, using a model system in the southeastern Minas Gerais. We evaluated and compared the composition and structure of small mammals in a vegetation corridor, forest fragments and a coffee matrix. A total of 15 species were recorded, and the highest species richness was observed in the vegetation corridor (13 species), followed by the forest fragments (10) and the coffee matrix (6). The absolute abundance was similar between the vegetation corridor and fragments (F = 22.94; p = 0.064), and the greatest differences occurred between the vegetation corridor and the matrix (F = 22.94; p = 0.001) and the forest fragments and the matrix (F = 22.94; p = 0.007). Six species showed significant habitat preference possibly related to the sensitivity of the species to the forest disturbance. 
       
        Marmosops incanus
        was the species most sensitive to disturbance; 
       
        Akodon montensis
       , 
       
        Cerradomys subflavus
       , 
       
        Gracilinanus microtarsus
        and 
       
        Rhipidomys
        sp. displayed little sensitivity to disturbance, with a high relative abundance in the vegetation corridor. 
       
        Calomys
        sp. was the species least affected by habitat disturbance, displaying a high relative abundance in the coffee matrix. Although the vegetation corridors are narrow (4 m width), our results support the hypothesis in which they work as a forest extension, share most species with the forest fragment and support species richness and abundance closer to forest fragments than to the coffee matrix. Our work highlights the importance and cost-effectiveness of these corridors to biodiversity management in the fragmented Atlantic Forest landscapes and at the regional level.
",False,
"
      10.1371/journal.pone.0024107
     ","
       PLoS ONE
      ",,"
         Brown
        , 
         Kerry A.
        , 
         Flynn
        , 
         Dan F. B.
        , 
         Abram
        , 
         Nicola K.
        , 
         Ingram
        , 
         J. Carter
        , 
         Johnson
        , 
         Steig E.
        , 
         Wright
        , 
         Patricia
        , 
         Mouquet
        , 
         Nicolas
        . 
       2011
      . 
       Assessing Natural Resource Use by Forest-Reliant Communities in Madagascar Using Functional Diversity and Functional Redundancy Metrics
      . 
       PLoS ONE
      . ","
       Assessing Natural Resource Use by Forest-Reliant Communities in Madagascar Using Functional Diversity and Functional Redundancy Metrics
      ","
       2011
      ","
         Brown
        , 
         Kerry A.
        ","
         Brown
        , 
         Kerry A.
        , 
         Flynn
        , 
         Dan F. B.
        , 
         Abram
        , 
         Nicola K.
        , 
         Ingram
        , 
         J. Carter
        , 
         Johnson
        , 
         Steig E.
        , 
         Wright
        , 
         Patricia
        , 
         Mouquet
        , 
         Nicolas
        ","
      6
     (
      9
     ):
      e24107
     ","
      6
     ","
      9
     ","
      e24107
     ",,,False,"
Biodiversity plays an integral role in the livelihoods of subsistence-based forest-dwelling communities and as a consequence it is increasingly important to develop quantitative approaches that capture not only changes in taxonomic diversity, but also variation in natural resources and provisioning services. We apply a functional diversity metric originally developed for addressing questions in community ecology to assess utilitarian diversity of 56 forest plots in Madagascar. The use categories for utilitarian plants were determined using expert knowledge and household questionnaires. We used a null model approach to examine the utilitarian (functional) diversity and utilitarian redundancy present within ecological communities. Additionally, variables that might influence fluctuations in utilitarian diversity and redundancy—specifically number of felled trees, number of trails, basal area, canopy height, elevation, distance from village—were analyzed using Generalized Linear Models (GLMs). Eighteen of the 56 plots showed utilitarian diversity values significantly higher than expected. This result indicates that these habitats exhibited a low degree of utilitarian redundancy and were therefore comprised of plants with relatively distinct utilitarian properties. One implication of this finding is that minor losses in species richness may result in reductions in utilitarian diversity and redundancy, which may limit local residents' ability to switch between alternative choices. The GLM analysis showed that the most predictive model included basal area, canopy height and distance from village, which suggests that variation in utilitarian redundancy may be a result of local residents harvesting resources from the protected area. Our approach permits an assessment of the diversity of provisioning services available to local communities, offering unique insights that would not be possible using traditional taxonomic diversity measures. These analyses introduce another tool available to conservation biologists for assessing how future losses in biodiversity will lead to a reduction in natural resources and provisioning services from forests.
",False,
