xmlfile,doi,title,level,section_name,country_conf,country_predicted,start_char,end_char,latitude,longitude,resolved_placename,word_phrase,section_chars
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,title,title,,,,,,,,,58
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,abstract,abstract,,,,,,,,,1106
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's1'},Introduction,0.2353872,FLK,1614,1624,,,,Wadden Sea,3064
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's1'},Introduction,0.95639527,USA,2062,2079,37.77239,-122.42349,San Francisco Bay Area,San Francisco Bay,3064
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's1'},Introduction,0.9516948,AUS,2087,2096,-25,135,Commonwealth of Australia,Australia,3064
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's1'},Introduction,0.95639527,USA,2108,2130,37.75049,-122.75165,Gulf of the Farallones,Gulf of the Farallones,3064
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's1'},Introduction,0.2353872,FLK,2140,2150,37.75049,-122.75165,Gulf of the Farallones,Wadden Sea,3064
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,0.95639527,USA,692,709,37.77239,-122.42349,San Francisco Bay Area,San Francisco Bay,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,0.9516948,AUS,810,819,-25,135,Commonwealth of Australia,Australia,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,0.2353872,FLK,1901,1911,-25,135,Commonwealth of Australia,Wadden Sea,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,0.2353872,FLK,1987,1997,-25,135,Commonwealth of Australia,Wadden Sea,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,0.2353872,FLK,2865,2875,-25,135,Commonwealth of Australia,Wadden Sea,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,0.2353872,FLK,4153,4163,-25,135,Commonwealth of Australia,Wadden Sea,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,0.2353872,FLK,4712,4722,-25,135,Commonwealth of Australia,Wadden Sea,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's3'},Discussion,0.19161284,COL,2966,2976,-25,135,Commonwealth of Australia,California,5718
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's3'},Discussion,0.3105929,USA,3589,3602,-25,135,Commonwealth of Australia,Gulf of Maine,5718
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's3'},Discussion,0.19161284,AUS,3707,3711,-25,135,Commonwealth of Australia,Gulf,5718
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's3'},Discussion,0.3105929,USA,5056,5069,-25,135,Commonwealth of Australia,Gulf of Maine,5718
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,0.94876826,USA,1004,1021,37.77239,-122.42349,San Francisco Bay Area,San Francisco Bay,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,0.94819117,AUS,1046,1055,-25,135,Commonwealth of Australia,Australia,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,0.25185502,FLK,1084,1094,-25,135,Commonwealth of Australia,Wadden Sea,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,0.25185502,USA,1159,1207,-25,135,Commonwealth of Australia,Gulf of the Farallones National Marine Sanctuary,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,0.94876826,USA,1211,1230,37.8875,-122.50536,Golden Gate Baptist Theological Seminary Northern California Campus,Northern California,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,0.25185502,FLK,1333,1343,37.8875,-122.50536,Golden Gate Baptist Theological Seminary Northern California Campus,Wadden Sea,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,0.25185502,FLK,1658,1668,37.8875,-122.50536,Golden Gate Baptist Theological Seminary Northern California Campus,Wadden Sea,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,0.25185502,FLK,1915,1925,37.8875,-122.50536,Golden Gate Baptist Theological Seminary Northern California Campus,Wadden Sea,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,0.8212683,NLD,1977,1987,53.57911,6.95262,Wadden Sea,Wadden Sea,6119
