doi,title,longitude,latitude,place,no_recorded_place,coordinates,coordinate_type,no_recorded_coordinate,location_type,location_scale,location_reliability,location_conformance,error_type,error_description
"
 10.1371/journal.pone.0000908
","
  Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape
 ",-36.075,-8.98056,,True,"{'latitude': -8.98056, 'longitude': -36.075}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0009677
","
  Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions
 ",-63.58333,44.65,,True,"{'latitude': 44.65, 'longitude': -63.58333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0013382
","
  Diversity Promotes Temporal Stability across Levels of Ecosystem Organization in Experimental Grasslands
 ",11.62319,50.95086,,True,"{'latitude': 50.95086, 'longitude': 11.62319}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0018982
","
  Positive Interspecific Relationship between Temporal Occurrence and Abundance in Insects
 ",-61.88333,45.66667,,True,"{'latitude': 45.66667, 'longitude': -61.88333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0020078
","
  Hierarchical Plant Responses and Diversity Loss after Nitrogen Addition: Testing Three Functionally-Based Hypotheses in the Inner Mongolia Grassland
 ",116.7,43.63333,,True,"{'latitude': 43.63333, 'longitude': 116.7}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0021265
","
  Predicting Species Diversity of Benthic Communities within Turbid Nearshore Using Full-Waveform Bathymetric LiDAR and Machine Learners
 ",-65.0,48.0,,True,"{'latitude': 48.0, 'longitude': -65.0}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0021972
","
  Effects of Total Resources, Resource Ratios, and Species Richness on Algal Productivity and Evenness at Both Metacommunity and Local Scales
 ",6.92,50.93,,True,"{'latitude': 50.93, 'longitude': 6.92}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0022905
","
  Predator Diversity and Abundance Provide Little Support for the Enemies Hypothesis in Forests of High Tree Diversity
 ",118.11667,29.23333,,True,"{'latitude': 29.23333, 'longitude': 118.11667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0023312
","
  A Small Mammal Community in a Forest Fragment, Vegetation Corridor and Coffee Matrix System in the Brazilian Atlantic Forest
 ",-44.83653,-20.89919,,True,"{'latitude': -20.89919, 'longitude': -44.83653}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0024107
","
  Assessing Natural Resource Use by Forest-Reliant Communities in Madagascar Using Functional Diversity and Functional Redundancy Metrics
 ",-47.61667,47.3,,True,"{'latitude': 47.3, 'longitude': -47.61667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0024107
","
  Assessing Natural Resource Use by Forest-Reliant Communities in Madagascar Using Functional Diversity and Functional Redundancy Metrics
 ",-21.41667,21.03333,,True,"{'latitude': 21.03333, 'longitude': -21.41667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0026986
","
  Legacy Effects of Canopy Disturbance on Ecosystem Functioning in Macroalgal Assemblages
 ",170.0,-45.18333,,True,"{'latitude': -45.18333, 'longitude': 170.0}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0026986
","
  Legacy Effects of Canopy Disturbance on Ecosystem Functioning in Macroalgal Assemblages
 ",173.7,-42.41667,,True,"{'latitude': -42.41667, 'longitude': 173.7}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0026986
","
  Legacy Effects of Canopy Disturbance on Ecosystem Functioning in Macroalgal Assemblages
 ",173.5,-42.5,,True,"{'latitude': -42.5, 'longitude': 173.5}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0027785
","
  Forest Fragmentation and Selective Logging Have Inconsistent Effects on Multiple Animal-Mediated Ecosystem Processes in a Tropical Forest
 ",-0.45,0.11667,,True,"{'latitude': 0.11667, 'longitude': -0.45}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0027785
","
  Forest Fragmentation and Selective Logging Have Inconsistent Effects on Multiple Animal-Mediated Ecosystem Processes in a Tropical Forest
 ",-34.95,34.76667,,True,"{'latitude': 34.76667, 'longitude': -34.95}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0029152
","
  Small-Scale Heterogeneity in Deep-Sea Nematode Communities around Biogenic Structures
 ",4.0,79.0,,True,"{'latitude': 79.0, 'longitude': 4.0}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0029152
","
  Small-Scale Heterogeneity in Deep-Sea Nematode Communities around Biogenic Structures
 ",4.86667,78.75,,True,"{'latitude': 78.75, 'longitude': 4.86667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0029469
","
  Local-Scale Drivers of Tree Survival in a Temperate Forest
 ",128.28333,-999,,True,"{'latitude': 41.71667, 'longitude': 128.28333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0030506
","
  Predicting Tropical Dry Forest Successional Attributes from Space: Is the Key Hidden in Image Texture?
 ",-95.011,16.65817,,True,"{'latitude': 16.65817, 'longitude': -95.011}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0030506
","
  Predicting Tropical Dry Forest Successional Attributes from Space: Is the Key Hidden in Image Texture?
 ",45.0,0.0,,True,"{'latitude': 0.0, 'longitude': 45.0}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0030506
","
  Predicting Tropical Dry Forest Successional Attributes from Space: Is the Key Hidden in Image Texture?
 ",135.0,90.0,,True,"{'latitude': 90.0, 'longitude': 135.0}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0040679
","
  Low Functional 
  
   β
  -Diversity Despite High Taxonomic 
  
   β
  -Diversity among Tropical Estuarine Fish Communities
 ",-92.70778,18.62111,,True,"{'latitude': 18.62111, 'longitude': -92.70778}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0040679
","
  Low Functional 
  
   β
  -Diversity Despite High Taxonomic 
  
   β
  -Diversity among Tropical Estuarine Fish Communities
 ",-91.4675,18.50556,,True,"{'latitude': 18.50556, 'longitude': -91.4675}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0041270
","
  Assemblage of a Semi-Arid Annual Plant Community: Abiotic and Biotic Filters Act Hierarchically
 ",-3.61667,40.03333,,True,"{'latitude': 40.03333, 'longitude': -3.61667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0042354
","
  Temporal-Spatial Variation and Controls of Soil Respiration in Different Primary Succession Stages on Glacier Forehead in Gongga Mountain, China
 ",-30.33333,29.33333,,True,"{'latitude': 29.33333, 'longitude': -30.33333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0042354
","
  Temporal-Spatial Variation and Controls of Soil Respiration in Different Primary Succession Stages on Glacier Forehead in Gongga Mountain, China
 ",-999,-999,,True,"{'latitude': -999, 'longitude': -999}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0042524
","
  Bacterial Community Dynamics in Full-Scale Activated Sludge Bioreactors: Operational and Ecological Factors Driving Community Assembly and Performance
 ",-67.15583,18.24806,,True,"{'latitude': 18.24806, 'longitude': -67.15583}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0042524
","
  Bacterial Community Dynamics in Full-Scale Activated Sludge Bioreactors: Operational and Ecological Factors Driving Community Assembly and Performance
 ",-66.72778,18.16639,,True,"{'latitude': 18.16639, 'longitude': -66.72778}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0042833
","
  Hierarchical Reproductive Allocation and Allometry within a Perennial Bunchgrass after 11 Years of Nutrient Addition
 ",116.7,43.63333,,True,"{'latitude': 43.63333, 'longitude': 116.7}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0044925
","
  Community Biomass and Bottom up Multivariate Nutrient Complementarity Mediate the Effects of Bioturbator Diversity on Pelagic Production
 ",-44.7,-22.83333,,True,"{'latitude': -22.83333, 'longitude': -44.7}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0045334
","
  Understanding Long-Term Variations in an Elephant Piosphere Effect to Manage Impacts
 ",25.75,-33.51667,,True,"{'latitude': -33.51667, 'longitude': 25.75}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0047192
","
  Can Joint Carbon and Biodiversity Management in Tropical Agroforestry Landscapes Be Optimized?
 ",120.03639,-1.50667,,True,"{'latitude': -1.50667, 'longitude': 120.03639}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0049024
","
  The Relationship between Species Richness and Evenness in Plant Communities along a Successional Gradient: A Study from Sub-Alpine Meadows of the Eastern Qinghai-Tibetan Plateau, China
 ",102.88333,34.91667,,True,"{'latitude': 34.91667, 'longitude': 102.88333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0049618
","
  Kinetic Energy of Throughfall in Subtropical Forests of SE China – Effects of Tree Canopy Structure, Functional Traits, and Biodiversity
 ",118.11342,29.24428,,True,"{'latitude': 29.24428, 'longitude': 118.11342}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0049795
","
  Organism-Sediment Interactions Govern Post-Hypoxia Recovery of Ecosystem Functioning
 ",3.71417,51.35667,,True,"{'latitude': 51.35667, 'longitude': 3.71417}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0049795
","
  Organism-Sediment Interactions Govern Post-Hypoxia Recovery of Ecosystem Functioning
 ",3.71417,51.35667,,True,"{'latitude': 51.35667, 'longitude': 3.71417}",Geographic Coordinate System (GCS),False,,,2,,,
