doi,title,longitude,latitude,place,no_recorded_place,coordinates,coordinate_type,no_recorded_coordinate,location_type,location_scale,location_reliability,location_conformance,error_type,error_description
"
10.1371/journal.pone.0000908
","
  Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape
 ",-36.07500,-8.98056,,True,"8°58′50″S, 36°04′30″W",Geographic Coordinate System (GCS),False,,,2,,,
"
10.1371/journal.pone.0009677
","
  Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions
 ",-63.58333,44.65000,,True,"44°39′N, 63°35′W",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0013382
","
  Diversity Promotes Temporal Stability across Levels of Ecosystem Organization in Experimental Grasslands
 ",11.62319,50.95086,,True,"50°57′3.09″N, 11°37′23.49″E",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0018982
","
  Positive Interspecific Relationship between Temporal Occurrence and Abundance in Insects
 ",-61.88333,45.66667,,True,"45°40′N, 61°53′W",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0020078
","
  Hierarchical Plant Responses and Diversity Loss after Nitrogen Addition: Testing Three Functionally-Based Hypotheses in the Inner Mongolia Grassland
 ",116.70000,43.63333,,True,"E 116°42′, N 43°38",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0021265
","
  Predicting Species Diversity of Benthic Communities within Turbid Nearshore Using Full-Waveform Bathymetric LiDAR and Machine Learners
 ",-65.00000,48.00000,,True,"48°N, 65°W",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0021972
","
  Effects of Total Resources, Resource Ratios, and Species Richness on Algal Productivity and Evenness at Both Metacommunity and Local Scales
 ",6.92000,50.93000,,True,"latitude 50° 55′ 48″, longitude 6° 55′ 12",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0022905
","
  Predator Diversity and Abundance Provide Little Support for the Enemies Hypothesis in Forests of High Tree Diversity
 ",118.11667,29.23333,,True,"29°14′ N, 118°07′ E",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0023312
","
  A Small Mammal Community in a Forest Fragment, Vegetation Corridor and Coffee Matrix System in the Brazilian Atlantic Forest
 ",-44.83653,-20.89919,,True,"20°53′57.1″S, 44°50′11.5″W",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0026986
","
  Legacy Effects of Canopy Disturbance on Ecosystem Functioning in Macroalgal Assemblages
 ",170.15222,-45.18333,,True,"45°11′S, 170°98′E",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0026986
","
  Legacy Effects of Canopy Disturbance on Ecosystem Functioning in Macroalgal Assemblages
 ",173.70000,-42.41667,,True,"42°25′S, 173°42′E",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0026986
","
  Legacy Effects of Canopy Disturbance on Ecosystem Functioning in Macroalgal Assemblages
 ",173.50000,-42.50000,,True,"42°30′S, 173°30′E",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0027785
","
  Forest Fragmentation and Selective Logging Have Inconsistent Effects on Multiple Animal-Mediated Ecosystem Processes in a Tropical Forest
 ",34.76667,0.45000,,True,"0°27′ N, 34°46",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0029152
","
  Small-Scale Heterogeneity in Deep-Sea Nematode Communities around Biogenic Structures
 ",4.00000,79.00000,,True,"79°N, 04°E",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0029152
","
  Small-Scale Heterogeneity in Deep-Sea Nematode Communities around Biogenic Structures
 ",4.86667,78.75000,,True,"78°45′N, 04°52′E",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0030506
","
  Predicting Tropical Dry Forest Successional Attributes from Space: Is the Key Hidden in Image Texture?
 ",-95.01100,16.65817,,True,"16°39.49′N, 95°0.66′W",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0042354
","
  Temporal-Spatial Variation and Controls of Soil Respiration in Different Primary Succession Stages on Glacier Forehead in Gongga Mountain, China
 ",101.50000,30.33333,,True,"30°20′N, 101°30",Geographic Coordinate System (GCS),False,,,2,,,
"10.1371/journal.pone.0042524
","
  Bacterial Community Dynamics in Full-Scale Activated Sludge Bioreactors: Operational and Ecological Factors Driving Community Assembly and Performance
 ",-67.15583,18.24806,,True,"18°14′53″N, 67°09′21″W",Geographic Coordinate System (GCS),False,,,2,,,
