doi,title,journal,publisher,year,vol,issue,xmlfile,pdffile
"
10.1371/journal.pone.0131990
   ","
 DAPIT Over-Expression Modulates Glucose Metabolism and Cell Behaviour in HEK293T Cells
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
7
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.013199.xml,
"
10.1371/journal.pone.0138215
   ","
 Regulation of GABA Equilibrium Potential by mGluRs in Rat Hippocampal CA1 Neurons
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
9
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.013821.xml,
"
10.1371/journal.pone.0139190
   ","
 Base Station Placement Algorithm for Large-Scale LTE Heterogeneous Networks
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
10
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.013919.xml,
"
10.1371/journal.pone.0140208
   ","
 Prognostic Role of Adjuvant Chemotherapy in Node-Negative (N0), Triple-Negative (TN), Medullary Breast Cancer (MBC) in the Korean Population
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014020.xml,
"
10.1371/journal.pone.0140592
   ","
 Anti-Obesity Effect of the CB2 Receptor Agonist JWH-015 in Diet-Induced Obese Mice
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014059.xml,
"
10.1371/journal.pone.0140984
   ","
 Improving the pH-stability of Versatile Peroxidase by Comparative Structural Analysis with a Naturally-Stable Manganese Peroxidase
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
10
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014098.xml,
"
10.1371/journal.pone.0141157
   ","
 Implementation of Departmental Quality Strategies Is Positively Associated with Clinical Practice: Results of a Multicenter Study in 73 Hospitals in 7 European Countries
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014115.xml,
"
10.1371/journal.pone.0141252
   ","
 Mechanistic Scrutiny Identifies a Kinetic Role for Cytochrome b5 Regulation of Human Cytochrome P450c17 (CYP17A1, P450 17A1)
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014125.xml,
"
10.1371/journal.pone.0141585
   ","
 Developing Fast Fluorescent Protein Voltage Sensors by Optimizing FRET Interactions
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014158.xml,
"
10.1371/journal.pone.0141609
   ","
 The Effects of Renal Denervation on Renal Hemodynamics and Renal Vasculature in a Porcine Model
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014160.xml,
"
10.1371/journal.pone.0141777
   ","
 Trunk Muscle Activation at the Initiation and Braking of Bilateral Shoulder Flexion Movements of Different Amplitudes
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014177.xml,
"
10.1371/journal.pone.0141827
   ","
 Cold Atmospheric Plasma: A Promising Complementary Therapy for Squamous Head and Neck Cancer
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014182.xml,
"
10.1371/journal.pone.0141992
   ","
 Seeing the Big Picture: Size Perception Is More Context Sensitive in the Presence of Others
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014199.xml,
"
10.1371/journal.pone.0142013
   ","
 Physiotherapy Post Lumbar Discectomy: Prospective Feasibility and Pilot Randomised Controlled Trial
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014201.xml,
"
10.1371/journal.pone.0142168
   ","
 Comparative Study of SSVEP- and P300-Based Models for the Telepresence Control of Humanoid Robots
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014216.xml,
"
10.1371/journal.pone.0142170
   ","
 Strain Interactions as a Mechanism for Dominant Strain Alternation and Incidence Oscillation in Infectious Diseases: Seasonal Influenza as a Case Study
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014217.xml,
"
10.1371/journal.pone.0142255
   ","
 Genomic and Post-Translational Modification Analysis of Leucine-Rich-Repeat Receptor-Like Kinases in 
 
  Brassica rapa
 
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014225.xml,
"
10.1371/journal.pone.0142273
   ","
 SNPase-ARMS qPCR: Ultrasensitive Mutation-Based Detection of Cell-Free Tumor DNA in Melanoma Patients
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014227.xml,
"
10.1371/journal.pone.0142301
   ","
 Association between Maternal and Child Nutritional Status in Hula, Rural Southern Ethiopia: A Cross Sectional Study
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014230.xml,
"
10.1371/journal.pone.0142343
   ","
 HIV Incidence Prior to, during, and after Violent Conflict in 36 Sub-Saharan African Nations, 1990-2012: An Ecological Study
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014234.xml,
"
10.1371/journal.pone.0142409
   ","
 Seasonal Shifts in Diet and Gut Microbiota of the American Bison (
 
  Bison bison
 )
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014240.xml,
"
10.1371/journal.pone.0142429
   ","
 Application of a Patient Derived Xenograft Model for Predicative Study of Uterine Fibroid Disease
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014242.xml,
"
10.1371/journal.pone.0142506
   ","
 Atomic Force Microscopy Characterization of Protein Fibrils Formed by the Amyloidogenic Region of the Bacterial Protein MinE on Mica and a Supported Lipid Bilayer
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014250.xml,
"
10.1371/journal.pone.0142542
   ","
 Transcriptome Analysis of 
 
  Syringa oblata
  Lindl. Inflorescence Identifies Genes Associated with Pigment Biosynthesis and Scent Metabolism
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014254.xml,
"
10.1371/journal.pone.0142566
   ","
 How Visuo-Spatial Mental Imagery Develops: Image Generation and Maintenance
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014256.xml,
"
10.1371/journal.pone.0142573
   ","
 The Effects of Hsp90?1 Mutations on Myosin Thick Filament Organization
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014257.xml,
"
10.1371/journal.pone.0142587
   ","
 Activity of Herbal Medicines on 
 
  Plasmodium falciparum
  Gametocytes: Implications for Malaria Transmission in Ghana
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014258.xml,
"
10.1371/journal.pone.0142649
   ","
 Pooled Sequencing of Candidate Genes Implicates Rare Variants in the Development of Asthma Following Severe RSV Bronchiolitis in Infancy
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014264.xml,
"
10.1371/journal.pone.0142684
   ","
 Conspicuous Coloration in Males of the Damselfly 
 
  Nehalennia irene
  (Zygoptera: Coenagrionidae): Do Males Signal Their Unprofitability to Other Males?
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014268.xml,
"
10.1371/journal.pone.0142708
   ","
 Identification of microRNAs in 
 
  Macaca fascicularis
  (Cynomolgus Monkey) by Homology Search and Experimental Validation by Small RNA-Seq and RT-qPCR Using Kidney Cortex Tissues
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014270.xml,
"
10.1371/journal.pone.0142712
   ","
 Plant Photosynthesis-Irradiance Curve Responses to Pollution Show Non-Competitive Inhibited Michaelis Kinetics
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014271.xml,
"
10.1371/journal.pone.0142727
   ","
 Use of Cytokeratin-19 Concentration to Assess Early Recurrence and Prognosis of Hepatitis B Virus-Related Hepatocellular Carcinoma following Radical Resection in Patients with a Low Serum Alpha-Fetoprotein Concentration
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014272.xml,
"
10.1371/journal.pone.0142751
   ","
 Development of Lentivirus-Based Reference Materials for Ebola Virus Nucleic Acid Amplification Technology-Based Assays
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014275.xml,
"
10.1371/journal.pone.0142770
   ","
 The Cascade of Care for an Australian Community-Based Hepatitis C Treatment Service
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014277.xml,
