,DOI,parser,correctPlace,accurates,inaccurates
0,10.1371/journal.pone.0119922,locatext,Northeast Shelf Large Marine Ecosystem (NES LME),6.0,2826.0
1,10.1371/journal.pone.0053139,locatext,"The European Alps span eight countries, from the Mediterranean shores of Southern France to Slovenia and link with adjacent mountain ranges such as the Carpathians, Balkans and Apennines.",0.0,2523.0
2,10.1371/journal.pone.0147058,locatext,"state of Paraná, southern Brazil, which is located between latitudes 22°29’30”S and 26°42’59”S; and longitudes 48°02’24”W and 54°37’38”W",0.0,2808.0
3,10.1371/journal.pone.0111883,locatext,"On the island, the study areas were within the Lagoa do Peri Municipal Park (PER, 27¡43_30_S, 48¡32_18_W) and the Permanent Protection Area of Ratones (RAT, 27¡31_52_S, 48¡30_45_W). On the mainland, the areas sampled were within the Environmental Protection Area of Anhatomirim in Governador Celso Ramos city (ANH, 27¡25_1_S, 48¡34_25_W), and in Permanent Protection Area in Itapema city (ITA, 27¡05_13_S, 48¡35_54_W).Ê",8.0,8153.0
4,10.1371/journal.pone.0102437,locatext,"The Houguanhu Region (113°41′–114°13′E, 30°15′–30°41′N) lies within the southwestern Wuhan city of Hubei Province in central China",0.0,2724.0
5,10.1371/journal.pone.0060756,locatext,"(4¡ 58_N, 117¡ 48_E",2.0,3843.0
6,10.1371/journal.pone.0049024,locatext,"34¡55_N, 102¡53_E;",0.0,1277.0
7,10.1371/journal.pone.0027785,locatext,"Kakamega Forest in western Kenya (0¡07_Ð0¡27_ N, 34¡46_Ð34¡57_ E)",0.0,9685.0
8,10.1371/journal.pone.0038970,locatext,The research was conducted at eight sites in the Iberian Peninsula,0.0,3781.0
9,10.1371/journal.pone.0021972,locatext,"latitude 50¡ 55_ 48_, longitude 6¡ 55_ 12_",2.0,2467.0
10,10.1371/journal.pone.0112436,locatext,"This study was carried out at the Huanjiang Observation and Research Station for Karst Ecosystems (107°51′–108°43′E, 24°44′–25°33′N), Chinese Academy of Sciences (CAS), Guangxi Province, China",0.0,5367.0
11,10.1371/journal.pone.0154026,locatext,The study area ranges from 34¡25_N to 48¡10_N in latitude and from 73¡40_E to 96¡18_E in longitude,0.0,7290.0
12,10.1371/journal.pone.0150520,locatext,71¡23Õ28ÓW 12¡47Õ21ÓS,2.0,9034.0
13,10.1371/journal.pone.0118580,locatext,"Mobile Bay, Alabama",0.0,43.0
14,10.1371/journal.pone.0123160,locatext,"44¡45_N, 123¡45_E",2.0,2442.0
15,10.1371/journal.pone.0123030,locatext,"Ê27¼25Õ1ÓS, 48¼34Õ25ÓW), and the other in a Permanent Protection Area in the municipality of Itapema (ITA, 27¼05Õ13ÓS, 48¼35Õ54ÓW). On the island, one study areas lies within the Lagoa do Peri Municipal Park (PER, 27¡43Õ30ÓS, 48¡32Õ18ÓW) and the other in the Permanent Protection Area of Ratones (RAT, 27¡31Õ52ÓS, 48¡30Õ45ÓW",8.0,8119.0
16,10.1371/journal.pone.0085513,locatext,"112¡50_E, 22¡34_N",2.0,2810.0
17,10.1371/journal.pone.0084568,locatext,"Upper Paraná River Floodplain Long Term Ecological Research (LTER) program’s field station located at the Upper Paraná River floodplain, Brazil.",0.0,4352.0
18,10.1371/journal.pone.0082792,locatext,"Changbai Mountain (E 127¡43_ Ð128¡16_; N 41¡41_ Ð42¡51_) in Jilin Province, North-eastern China",0.0,3246.0
19,10.1371/journal.pone.0066650,locatext,"51¡ 37_ 00__ N, 4¡ 01_ 00__ E",2.0,3195.0
20,10.1371/journal.pone.0058432,locatext,"Dawu Village, Maqin Country of Guoluo Tibetan Autonomous Prefecture, Qinghai Province, China",0.0,5025.0
21,10.1371/journal.pone.0052821,locatext,"Cedar Creek Natural History area, a National Science Foundation, Long-Term Ecological Research site in Minnesota, USA (lat. 45° N, Long. 93° W)",33.0,4653.0
22,10.1371/journal.pone.0053009,locatext,"Chamela-Cuixmala Biosphere Reserve (CCBR, 19¡22_Ð19¡39_N, 104¡56_Ð105¡10_W)",0.0,1911.0
23,10.1371/journal.pone.0042354,locatext,"Gongga Mountain (29¡20_Ð30¡20_N, 101¡30_Ð102¡15_E",0.0,3408.0
